RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
10025,New York,NY,New York-Newark-Jersey City,New York County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.996825397,4.875,4.822866345,4.867423858,4.986878726,4.839142091,4.819277108,4.846256684,4.941107185,4.983534193,4.888888889,4.919786096,4.92739245,4.903424056,4.9,4.850959369,4.877873563,4.871148726,4.932110282,4.936255205,4.926666667,4.975791434,4.920996301,4.919786096,4.667600373,4.814592322,4.828462516,4.733153195,4.729464286,4.725609756,4.75974026,4.891611687,4.919786096,4.915384615,4.851112769,4.87804878,4.854185918,4.857313944,4.795,4.757333787,4.721211798,4.739304813,4.732221247,4.714285714,4.687136135,4.759311754,4.768225642,4.758775411,4.722222222,4.771371769,4.704510109,4.735421798,4.812866862,4.785714286,4.8,4.780102278,4.820936639,4.870936902,4.864355817,4.94053065,4.891994917,4.857142857,4.919786096,5.03584565,4.972082985
60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.779310345,1.754462165,1.75,1.75,1.789473684,1.848168553,1.74675727,1.867708333,1.853932584,1.888888889,1.888888889,1.85,1.784210526,1.75,1.783216783,1.8,1.815454545,1.871297108,1.92282347,1.927083333,1.952564587,1.972349643,1.941666667,1.9,1.9,1.86875,1.86,1.809375,1.881818182,1.944444444,2,1.99375,1.998,2.011616257,2.008695652,1.95,1.921428571,1.889690971,1.928571429,1.984615385,1.99617864,2.065028029,2.066666667,2.068965517,2.083333333,2.069230769,2.083333333,2.046413502,1.991666667,1.9375,1.924066924,1.944444444,1.99,2.007147111,2.034432109,2.065,2.088089278,2.153846154,2.158333333,2.146153846,2.146153846,2.138756414,2.1225
10023,New York,NY,New York-Newark-Jersey City,New York County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.226641998,5.256696429,5.312865529,5.313170665,5.280192543,5.268199234,5.223076923,5.268199234,5.2413273,5.348258706,5.355078448,5.355230957,5.346240851,5.464469647,5.462326275,5.396796971,5.315057283,5.372883244,5.445483684,5.353319058,5.373096555,5.396576257,5.340301486,5.319886426,5.21468188,4.888888889,5.226319383,5.17265971,5.160645161,5.175198847,4.974358974,5.216409909,5.263157895,5.25,5.340301486,5.337078652,5.292023218,5.324680832,5.234432234,5.201156069,5.28109029,5.274182073,5.204163331,5.230769231,5.223076923,5.140560198,5.233333333,5.338563171,5.362745098,5.371097903,5.462962963,5.388289676,5.461689587,5.390778721,5.297029703,5.328205128,5.244338498,5.25,5.3125,5.415419925,5.524861878,5.462962963,5.456852792,5.290052151,5.448735409,5.391600454
77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.109570042,1.177945148,1.194419135,1.195826645,1.225232371,1.224429803,1.239305713,1.251637516,1.218519439,1.240796436,1.259640103,1.261690647,1.270683453,1.269430052,1.263858093,1.231756757,1.231756757,1.231756757,1.231756757,1.231756757,1.262450593,1.263783436,1.285325725,1.289711191,1.311706629,1.293558606,1.260665375,1.260665375,1.298283262,1.303768417,1.308630394,1.262053626,1.335086119,1.346642468,1.311900129,1.348466258,1.433752675,1.311900129,1.317752101,1.310582822,1.324313471,1.325508887,1.463553662,1.357740721,1.380832282,1.382232862,1.390117035,1.430575035,1.382886776,1.321043165,1.300898204,1.329779679,1.376205234,1.307853403,1.307853403,1.362694301,1.337834744,1.353991597,1.353991597,1.351916376,1.412358134,1.409477521,1.439858831,1.444381781,1.416661145,1.408536585,1.408915634,1.399842271,1.396326813,1.408326661,1.41521197,1.392020815,1.399190829,1.416192066,1.392857143,1.388012618,1.392020815,1.389637306,1.388012618,1.381025465,1.386977887,1.392020815,1.422054936,1.44561774,1.392020815,1.411393368,1.361017897
60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,,,,,,,,1.738410596,1.713114754,1.751558239,1.812403994,1.738770515,1.758699634,1.767399267,1.773958333,1.725,1.833333333,1.870277778,1.899444444,1.886607143,1.907115604,1.965555556,1.92394596,2.025912014,1.958362784,1.96,2.025816123,2.093023256,2.00375,2.014327485,2.0625,2.1,2.18,2.135079787,2.146666667,2.151984127,2.163217213,1.89,2.083766234,2.149216012,2.154006243,2.1,2.117497887,2.172771318,2.153926199,2.125,2.171092213,2.094494048,2.061059063,2.034482759,2.035714286,2.035714286,2.066333333,2.082971014,2.027491409,2,1.98136646,1.989761905,1.975,2.019230769,2,1.860084746,2.030487805,2,2.05,2.041666667,2.016666667,2,2,2.153846154,2.158836689,2.080992509,2.285714286,2.111111111,2.10361093,2.107322424,2.14599359,2.185294118,2.121248943,2.103773585,2.103288662,2.063596869,2.080808081,2.090238095,2.1125,2.125,2.130434783,2.15,2.138675214,2.125,2.104818259,2.098393574,2.08,2.107142857,2.171641791,2.1875,2.208083832,2.263792305,2.272727273,2.26,2.26975052,2.269230769,2.25,2.181642682,2.155555556,2.154354354,2.211111111,2.272727273,2.333333333,2.352941176,2.294117647,2.30625,2.330691312,2.338061938,2.3998,2.392857143,2.357142857,2.362870813
77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.159480511,1.133333333,1.136983102,1.133333333,1.147859922,1.156354267,1.10899654,1.130929132,1.113867236,1.139732685,1.127439724,1.042382589,1.122094249,1.1,1.094669892,1.122833602,1.097768332,1.106918239,1.167623421,1.215083799,1.220559482,1.158866266,1.126867658,1.097273136,1.101321586,1.169692186,1.195270786,1.204042715,1.233072434,1.25796727,1.245709124,1.262569832,1.259387415,1.236990467,1.220061022,1.175833333,1.208611071,1.179193977,1.207920792,1.224028907,1.252616888,1.303611639,1.32122905,1.323187108,1.423320248
79936,El Paso,TX,El Paso,El Paso County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786011629,0.78449887,0.787401575,0.842952342,0.852272727,0.80323982,0.837563452,0.838932806,0.829596413,0.811552087,0.833333333,0.782688766,0.759734093,0.747000646,0.832266325,0.786958966,0.755555556,0.755555556,0.755555556,0.78680203,0.755555556,0.8,0.8,0.800327546,0.799373041,0.807106599,0.806451613,0.831024931,0.827713059,0.827402098,0.830721003,0.831152859,0.854700855,0.811496649,0.827713059,0.837404455,0.831949059,0.826446281,0.807106599,0.80952381,0.820716653,0.809822362,0.807106599,0.81879845,0.844478539,0.816104461,0.809610245,0.768442623,0.787387055,0.826446281,0.807106599,0.828012465,0.814176245,0.775,0.807106599,0.839338926,0.820218548,0.799373041,0.799373041,0.805147059,0.808209124,0.807926829,0.845,0.880952381,0.843023256,0.850745665,0.862600123,0.878954608,0.86565097,0.837117473,0.851900393,0.880829016,0.851900393,0.858835143,0.873362445,0.864361702,0.865284974,0.871184366,0.867158754,0.89828191,0.878378378,0.905231984,0.870681145,0.851782101,0.873465534,0.910198066,0.957337831
60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60854363,1.581140351,1.567085954,1.611111111,1.570111916,1.539230769,1.541666667,1.585239085,1.5625,1.567085954,1.52173913,1.642857143,1.645207733,1.65,1.61875,1.657142857,1.654211957,1.65,1.614143921,1.588235294,1.59,1.607142857,1.691910727,1.697247706,1.711111111,1.75,1.678571429,1.735924933,1.725714286,1.666666667,1.615384615,1.6,1.705882353,1.684412955,1.7,1.722222222,1.770899471,1.780250348,1.724137931,1.722222222,1.715213358,1.68625,1.7,1.685,1.745555556,1.8,1.798611111,1.785196629,1.785714286,1.793499473,1.961060606,1.939393939,1.907113807,1.783783784,1.818181818,1.8125,1.83079955,1.85,1.9,1.85,1.861820354,1.872483221,1.888888889,1.904942966,1.888888889,1.873684211,1.9
78660,Pflugerville,TX,Austin-Round Rock,Travis County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0112,1.027163421,1.06400507,1.027724665,0.98812016,1.013209742,0.987096774,1.066666667,1.108365019,1.092686459,1.092850301,1.076075138,1.075401989,1.0625,1.128205128,1.156330749,1.168042287,1.141527002,1.103941198,1.090696806,1.202751629,1.115560641,1.093345452,1.109902067,1.110363392,1.138909634,1.180651045,1.156884876,1.151241535,1.156884876,1.156884876,1.170240783,1.176115802,1.189542789,1.213318284,1.212903226,1.216034142,1.222332228,1.2272523,1.222183248,1.210144928,1.203125,1.249251497,1.26641651,1.153846154,1.216655695,1.326738022,1.261290323,1.305574482,1.264997277,1.290468986,1.30357886,1.32408431,1.315196998,1.290726817,1.407035176,1.458291457,1.411290323,1.406779661,1.406030151,1.331322581,1.364315353,1.257309942,1.257309942,1.314161023,1.305990783,1.312291235,1.321428571,1.327379083,1.327287716,1.323178808,1.332254635,1.315743891,1.315521479,1.290482077,1.278610202,1.291964286,1.319548872,1.314608219,1.339131031,1.344273743,1.320284698,1.36784141,1.448659254,1.437893823
94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,10,,,,,,,,,,,,,,,,,,,,3.025139763,3.125,3.25,3.037006672,3.033472803,3.051025776,3.036301619,3.283869573,3.551829268,3.29153605,3.475177305,3.600464576,3.430107527,3.666666667,3.58089375,3.702326593,3.992857143,3.757861635,4.06626506,3.975903614,3.988636364,4.000829187,4.253333333,4.488884493,4.444444444,4.188022461,4.361510791,4.363636364,4.272155003,4.226618705,4.223698963,4.285,4.324801412,4.443880142,4.401291712,4.318181818,4.410377358,4.318181818,4.386536599,4.381818182,4.444444444,4.587628866,4.5854811,4.693918192,4.82024068,4.768024321,4.602247807,4.754358162,4.848800257,4.728318671,4.541366906,4.55704698,4.753829322,4.675303084,4.646596859,4.677251525,4.615384615,4.615384615,4.626801092,4.579166667,4.541366906,4.510526316,4.652610442,4.559329177,4.875141884,4.74137931,4.699,4.625,4.545683453,4.492939666,4.507761054,4.541366906,4.491666667,4.593841642,4.462005545,4.545454545,4.568383065,4.526666667,4.615384615,4.75,4.706599713,4.800362976,4.938186813,4.934680038,4.86935867,4.844354839,4.926666667,4.805914972,4.850190292,4.977375566,5.08526393,5.081818182,5.193333333,5.171042164,5.2375,5.325829384,5.434782609,5.409145608,5.239962121
