SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3935 N 100th St,Milwaukee,WI,53222,219000,,,Milwaukee,3150,6098,1957,1,70,,Active,,,http://www.redfin.com/WI/Milwaukee/3935-N-100th-St-53222/home/90209797,METROMLS,1673548,N,Y,43.0885476,-88.0380281
MLS Listing,,Multi-Family (2-4 Unit),5607 W Burnham St #5609,West Allis,WI,53219,159900,4,2,West Allis,1703,3484,1977,2,94,,Active,,,http://www.redfin.com/WI/West-Allis/5607-W-Burnham-St-53219/unit-5609/home/145467167,METROMLS,1674192,N,Y,43.0099972,-87.9830074
MLS Listing,,Multi-Family (2-4 Unit),3624 N 86th St Unit 3264A,Milwaukee,WI,53222,115000,6,2,Milwaukee,2860,5227,1955,2,40,,Active,,,http://www.redfin.com/WI/Milwaukee/3624-N-86th-St-53222/unit-3264A/home/170405534,METROMLS,1674170,N,Y,43.083927,-88.019755
MLS Listing,,Multi-Family (2-4 Unit),2960 S Delaware St #2958,Milwaukee,WI,53207,279000,6,2,Milwaukee,2204,3484,1909,3,127,,Active,,,http://www.redfin.com/WI/Milwaukee/2960-S-Delaware-Ave-53207/unit-2958/home/112348739,METROMLS,1674017,N,Y,42.9902814,-87.8808048
MLS Listing,,Multi-Family (2-4 Unit),623 E Potter Ave,Milwaukee,WI,53207,186000,4,2,Milwaukee,1736,3484,1899,9,107,,Active,,,http://www.redfin.com/WI/Milwaukee/623-E-Potter-Ave-53207/home/90237963,METROMLS,1673338,N,Y,42.996234,-87.9009431
MLS Listing,,Multi-Family (5+ Unit),5901 W Burnham St #5915,West Allis,WI,53219,244900,,,West Allis,,3484,1928,10,,,Active,,,http://www.redfin.com/WI/West-Allis/5901-W-Burnham-St-53219/unit-5915/home/170304691,METROMLS,1673184,N,Y,43.010057,-87.9863366
MLS Listing,,Multi-Family (5+ Unit),3006 N 124th St,Wauwatosa,WI,53222,829900,,,Wauwatosa,,13503,1967,13,,,Active,,,http://www.redfin.com/WI/Wauwatosa/3006-N-124th-St-53222/home/90305257,METROMLS,1672819,N,Y,43.073034,-88.0662173
MLS Listing,,Multi-Family (2-4 Unit),8423 W Keefe Ave #8425,Milwaukee,WI,53222,163900,4,2,Milwaukee,2344,6098,1956,38,70,,Active,,,http://www.redfin.com/WI/Milwaukee/8423-W-Keefe-Ave-53222/unit-8425/home/146369097,METROMLS,1670684,N,Y,43.0821929,-88.018325
MLS Listing,,Multi-Family (2-4 Unit),3817 N 77th St #3819,Milwaukee,WI,53222,137500,6,2,Nash Park,2080,4791,1955,66,66,,Active,,,http://www.redfin.com/WI/Milwaukee/3817-N-77th-St-53222/unit-3819/home/90353257,METROMLS,1668432,N,Y,43.0867205,-88.0089174
MLS Listing,,Multi-Family (2-4 Unit),3834 S Brust Ave,Milwaukee,WI,53207,310000,,,Milwaukee,2542,6534,1951,70,122,,Active,,,http://www.redfin.com/WI/Milwaukee/3834-S-Brust-Ave-53207/home/90378523,METROMLS,1668134,N,Y,42.974782,-87.8892144
