SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-13-2019,Multi-Family (2-4 Unit),3747 S Massachusetts Ave,Milwaukee,WI,53220,240000,6,2,Milwaukee,2577,8276,1964,136,93,,Sold,,,http://www.redfin.com/WI/Milwaukee/3747-S-Massachusetts-Ave-53220/home/90247039,METROMLS,1638611,N,Y,42.9761218,-88.0042334
PAST SALE,,Multi-Family (2-4 Unit),2214 W Walnut St,Milwaukee,WI,53205,150000,6,3,,2178,8580,1985,,69,,,,,http://www.redfin.com/WI/Milwaukee/2214-W-Walnut-St-53205/home/90227567,,,N,Y,43.0529335,-87.9406724
PAST SALE,,Multi-Family (2-4 Unit),6559 N 73rd St #6561,Milwaukee,WI,53223,110000,6,3,,2426,7810,1969,,45,,,,,http://www.redfin.com/WI/Milwaukee/6559-N-73rd-St-53223/unit-6561/home/90196144,,,N,Y,43.1372188,-88.0024694
PAST SALE,,Multi-Family (2-4 Unit),4604 N 29th St,Milwaukee,WI,53209,25000,3,2,,1384,7680,1903,,18,,,,,http://www.redfin.com/WI/Milwaukee/4604-N-29th-St-53209/home/58058396,,,N,Y,43.1010636,-87.9488929
PAST SALE,July-29-2019,Multi-Family (2-4 Unit),4335 N 14th St #4337,Milwaukee,WI,53209,45000,4,2,Milwaukee,2028,4791,1925,151,22,,Sold,,,http://www.redfin.com/WI/Milwaukee/4335-N-14th-St-53209/unit-4337/home/90351471,METROMLS,1643352,N,Y,43.0957388,-87.928475
PAST SALE,,Multi-Family (2-4 Unit),713 E Center St,Milwaukee,WI,53212,182000,6,2,,2242,3600,1900,,81,,,,,http://www.redfin.com/WI/Milwaukee/713-E-Center-St-53212/home/90361345,,,N,Y,43.0672113,-87.9022902
PAST SALE,August-30-2019,Multi-Family (2-4 Unit),3003 N Hackett Ave,Milwaukee,WI,53211,380000,4,2,Milwaukee,2693,10890,1903,119,141,,Sold,,,http://www.redfin.com/WI/Milwaukee/3003-N-Hackett-Ave-53211/home/90221876,METROMLS,1659263,N,Y,43.0729325,-87.8770539
PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6,2,Milwaukee,2209,6098,1956,114,35,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131,N,Y,43.1077685,-87.9736157
PAST SALE,October-16-2019,Multi-Family (2-4 Unit),5742 N 43rd St Unit 5742A,Milwaukee,WI,53209,27500,3,2,Milwaukee,1692,8712,1923,72,16,,Sold,,,http://www.redfin.com/WI/Milwaukee/5742-N-43rd-St-53209/unit-5742A/home/169063052,METROMLS,1659273,N,Y,43.1224608,-87.9659267
PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6,2,Milwaukee,2052,5227,1957,71,49,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410,N,Y,43.1242389,-87.9875364
PAST SALE,August-23-2019,Multi-Family (2-4 Unit),4650 N 57th St #4652,Milwaukee,WI,53218,105000,5,2,Milwaukee,2289,10018,1957,126,46,,Sold,,,http://www.redfin.com/WI/Milwaukee/4650-N-57th-St-53218/unit-4652/home/90205467,METROMLS,1646216,N,Y,43.1019296,-87.983462
PAST SALE,August-8-2019,Multi-Family (5+ Unit),3031 N 22nd St,Milwaukee,WI,53206,155000,,,Milwaukee,,3920,1912,141,,,Sold,,,http://www.redfin.com/WI/Milwaukee/3031-N-22nd-St-53206/home/58051863,METROMLS,1633083,N,Y,43.0740041,-87.940048
PAST SALE,August-9-2019,Multi-Family (2-4 Unit),3327 N 13th St Unit 3327A,Milwaukee,WI,53206,32000,5,2,Milwaukee,2071,3920,1900,140,15,,Sold,,,http://www.redfin.com/WI/Milwaukee/3327-N-13th-St-53206/unit-3327A/home/144187609,METROMLS,1622789,N,Y,43.0795939,-87.9276196
PAST SALE,August-8-2019,Multi-Family (2-4 Unit),3454 N 11th St,Milwaukee,WI,53206,38000,5,2,Milwaukee,2434,1742,1912,141,16,,Sold,,,http://www.redfin.com/WI/Milwaukee/3454-N-11th-St-53206/unit-3454A/home/58051864,METROMLS,1654215,N,Y,43.0812723,-87.9246859
PAST SALE,,Multi-Family (2-4 Unit),8624 W Hampton Ave #26,Milwaukee,WI,53225,110000,6,3,,2688,5160,1965,,41,,,,,http://www.redfin.com/WI/Milwaukee/8624-W-Hampton-Ave-53225/unit-26/home/90349415,,,N,Y,43.1052918,-88.0205787
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),2936 N 27th St Unit 2936A,Milwaukee,WI,53210,2500,4,2,Milwaukee,1972,6098,1909,112,1,,Sold,,,http://www.redfin.com/WI/Milwaukee/2936-N-27th-St-53210/unit-2936A/home/114110514,METROMLS,1509433,N,Y,43.072376,-87.946966
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),2736 N 24th Pl Unit 2736A,Milwaukee,WI,53206,35000,4,2,Milwaukee,1898,4356,1925,112,18,,Sold,,,http://www.redfin.com/WI/Milwaukee/2736-N-24th-Pl-53206/unit-2736A/home/91482803,METROMLS,1651130,N,Y,43.0687179,-87.9434184
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),818 W Nash St #820,Milwaukee,WI,53206,26000,5,2,Milwaukee,2910,2613,1900,91,9,,Sold,,,http://www.redfin.com/WI/Milwaukee/818-W-Nash-St-53206/unit-820/home/168179033,METROMLS,1650380,N,Y,43.0845591,-87.9217323
PAST SALE,September-30-2019,Multi-Family (2-4 Unit),3946 N 15th St Unit 3946A,Milwaukee,WI,53206,45000,4,2,Milwaukee,1916,4791,1925,88,23,,Sold,,,http://www.redfin.com/WI/Milwaukee/3946-N-15th-St-53206/unit-3946A/home/91488465,METROMLS,1646132,N,Y,43.0887784,-87.9292863
PAST SALE,October-3-2019,Multi-Family (2-4 Unit),1415 W Columbia St,Milwaukee,WI,53206,8000,4,2,Milwaukee,2058,3049,1904,85,4,,Sold,,,http://www.redfin.com/WI/Milwaukee/1415-W-Columbia-St-53206/home/90220804,METROMLS,1662293,N,Y,43.0739704,-87.9297084
PAST SALE,,Multi-Family (2-4 Unit),2736 N 24th Pl,Milwaukee,WI,53206,35000,4,2,,1898,4588,1925,,18,,,,,http://www.redfin.com/WI/Milwaukee/2736-N-24th-Pl-53206/home/70526866,,,N,Y,43.0687179,-87.9434184
PAST SALE,October-14-2019,Multi-Family (2-4 Unit),2417 W Finn Pl #2419,Milwaukee,WI,53206,15000,4,2,Milwaukee,1884,6098,1922,74,8,,Sold,,,http://www.redfin.com/WI/Milwaukee/2417-W-Finn-Pl-53206/unit-2419/home/160425339,METROMLS,1663847,N,Y,43.08348,-87.9428325
PAST SALE,October-25-2019,Multi-Family (2-4 Unit),1012 W Eula Ct #1014,Glendale,WI,53209,325000,5,2,Glendale,2674,13503,1956,63,122,,Sold,,,http://www.redfin.com/WI/Glendale/1012-W-Eula-Ct-53209/unit-1014/home/168098734,METROMLS,1651036,N,Y,43.1016625,-87.9235569
PAST SALE,November-7-2019,Multi-Family (2-4 Unit),3947 N 19th Pl,Milwaukee,WI,53206,8500,3,2,Milwaukee,1634,4356,1913,50,5,,Sold,,,http://www.redfin.com/WI/Milwaukee/3947-N-19th-Pl-53206/home/58059134,METROMLS,1632439,N,Y,43.0888992,-87.9360067
PAST SALE,October-15-2019,Multi-Family (2-4 Unit),2900 N 6th St #2902,Milwaukee,WI,53212,30000,4,2,Milwaukee,2200,2613,1900,73,14,,Sold,,,http://www.redfin.com/WI/Milwaukee/2900-N-6th-St-53212/unit-2902/home/90359839,METROMLS,1655552,N,Y,43.0713591,-87.9180929
PAST SALE,December-9-2019,Multi-Family (2-4 Unit),2650 N 5th St,Milwaukee,WI,53212,82900,4,2,Milwaukee,1800,6098,1880,18,46,,Sold,,,http://www.redfin.com/WI/Milwaukee/2650-N-5th-St-53212/unit-2650A/home/57987627,METROMLS,1658071,N,Y,43.0669032,-87.916731
PAST SALE,December-3-2019,Multi-Family (2-4 Unit),2811 W Bobolink #2813,Milwaukee,WI,53209,53025,4,2,Milwaukee,2020,10018,1931,24,26,,Sold,,,http://www.redfin.com/WI/Milwaukee/2811-W-Bobolink-Ave-53209/unit-2813/home/90318378,METROMLS,1657736,N,Y,43.1243228,-87.9477218
PAST SALE,December-9-2019,Multi-Family (2-4 Unit),1207 W Keefe Ave Unit 1207A,Milwaukee,WI,53206,25000,4,2,Milwaukee,2268,6969,1906,18,11,,Sold,,,http://www.redfin.com/WI/Milwaukee/1207-W-Keefe-Ave-53206/unit-1207A/home/169594454,METROMLS,1665843,N,Y,43.081428,-87.926304
PAST SALE,December-20-2019,Multi-Family (2-4 Unit),4021 N 24th Pl #4023,Milwaukee,WI,53209,30000,4,2,Milwaukee,2298,4791,1926,7,13,,Sold,,,http://www.redfin.com/WI/Milwaukee/4021-N-24th-St-53209/unit-4023/home/144191005,METROMLS,1665800,N,Y,43.0903238,-87.9423117
PAST SALE,,Other,2025 W Warnimont Ave,Milwaukee,WI,53221,256000,8,1,,,9700,1960,,,,,,,http://www.redfin.com/WI/Milwaukee/2025-W-Warnimont-Ave-53221/home/90246021,,,N,Y,42.9790523,-87.9395722
PAST SALE,,Multi-Family (2-4 Unit),3415 N 24th St #3417,Milwaukee,WI,53206,20000,4,2,,2152,3960,1913,,9,,,,,http://www.redfin.com/WI/Milwaukee/3415-N-24th-St-53206/unit-3417/home/90215301,,,N,Y,43.0816211,-87.9425406
PAST SALE,November-22-2019,Multi-Family (2-4 Unit),8601 W Appleton Ave #8603,Milwaukee,WI,53225,165000,6,2,Milwaukee,2388,4791,1967,35,69,,Sold,,,http://www.redfin.com/WI/Milwaukee/8601-W-Appleton-Ave-53225/unit-8603/home/169236696,METROMLS,1661461,N,Y,43.1076,-88.020024
PAST SALE,,Multi-Family (2-4 Unit),5066 N Hopkins St #5068,Milwaukee,WI,53209,26500,4,2,,1904,5160,1953,,14,,,,,http://www.redfin.com/WI/Milwaukee/5066-N-Hopkins-St-53209/unit-5068/home/90348397,,,N,Y,43.1096733,-87.9620081
PAST SALE,August-19-2019,Multi-Family (2-4 Unit),8613 W Fond Du Lac Ave,Milwaukee,WI,53225,280000,,,Milwaukee,4102,10890,1960,130,68,,Sold,,,http://www.redfin.com/WI/Milwaukee/8613-W-Fond-Du-Lac-Ave-53225/home/58073676,METROMLS,1644611,N,Y,43.1224261,-88.0181571
PAST SALE,December-5-2019,Multi-Family (2-4 Unit),10332 W Villard Ave #10334,Milwaukee,WI,53225,97000,4,2,William Park,1901,7840,1957,22,51,,Sold,,,http://www.redfin.com/WI/Milwaukee/10332-W-Villard-Ave-53225/unit-10334/home/58063950,METROMLS,1665379,N,Y,43.1123852,-88.0419825
PAST SALE,December-17-2019,Multi-Family (2-4 Unit),10421 W Fond Du Lac Ave,Milwaukee,WI,53224,176000,4,3,Milwaukee,2348,31363,1930,10,75,,Sold,,,http://www.redfin.com/WI/Milwaukee/10421-W-Fond-Du-Lac-Ave-53224/home/58078058,METROMLS,1665337,N,Y,43.1409396,-88.0424028
PAST SALE,July-31-2019,Multi-Family (2-4 Unit),6501 W Chambers St Unit 6501a,Milwaukee,WI,53210,170000,4,2,Milwaukee,1900,5662,1952,149,89,,Sold,,,http://www.redfin.com/WI/Milwaukee/6501-W-Chambers-St-53210/unit-6501a/home/167165174,METROMLS,1645917,N,Y,43.0733505,-87.9930388
PAST SALE,August-12-2019,Multi-Family (2-4 Unit),2603 N 68th St,Wauwatosa,WI,53213,250000,3,2,Milwaukee,1970,4791,1942,137,127,,Sold,,,http://www.redfin.com/WI/Wauwatosa/2603-N-68th-St-53213/home/90333641,METROMLS,1647213,N,Y,43.066333,-87.997789
PAST SALE,October-7-2019,Multi-Family (2-4 Unit),3900 N 68th St Unit 6724 W Melvina,Milwaukee,WI,53216,149000,,,Milwaukee,4142,4791,1966,81,36,,Sold,,,http://www.redfin.com/WI/Milwaukee/3900-N-68th-St-53216/unit-6724-W-Melvina/home/166867016,METROMLS,1639404,N,Y,43.088225,-87.996717
PAST SALE,October-30-2019,Multi-Family (2-4 Unit),6609 W Girard Ave Unit -11,Milwaukee,WI,53210,180000,,,Milwaukee,2875,4791,1929,58,63,,Sold,,,http://www.redfin.com/WI/Milwaukee/6609-W-Girard-Ave-53210/unit-11/home/163362381,METROMLS,1632889,N,Y,43.0725013,-87.9944815
PAST SALE,December-9-2019,Multi-Family (2-4 Unit),2646 N 68th St Unit 2646A,Wauwatosa,WI,53213,244900,3,2,Ritter Highland,1907,5227,1940,18,128,,Sold,,,http://www.redfin.com/WI/Wauwatosa/2646-N-68th-St-53213/unit-2646A/home/167120362,METROMLS,1661445,N,Y,43.0672429,-87.9971538
PAST SALE,December-20-2019,Multi-Family (2-4 Unit),2753 N 69th St #2755,Milwaukee,WI,53210,225000,5,2,Milwaukee,2509,5227,1937,7,90,,Sold,,,http://www.redfin.com/WI/Milwaukee/2753-N-69th-St-53210/unit-2755/home/169883603,METROMLS,1668305,N,Y,43.069239,-87.998846
PAST SALE,,Other,2629 N Maryland Ave,Milwaukee,WI,53211,350000,2,1,,,5715,1900,,,,,,,http://www.redfin.com/WI/Milwaukee/2629-N-Maryland-Ave-53211/home/90222333,,,N,Y,43.0667736,-87.8833028
PAST SALE,,Multi-Family (2-4 Unit),2657 N Pierce St,Milwaukee,WI,53212,167900,3,2,,1604,6450,1900,,105,,,,,http://www.redfin.com/WI/Milwaukee/2657-N-Pierce-St-53212/home/90361478,,,N,Y,43.0669388,-87.9030702
PAST SALE,,Multi-Family (2-4 Unit),623 W Clarke St,Milwaukee,WI,53212,65000,6,2,,2823,3040,1909,,23,,,,,http://www.redfin.com/WI/Milwaukee/623-W-Clarke-St-53212/home/90361910,,,N,Y,43.0655727,-87.919275
PAST SALE,August-8-2019,Multi-Family (2-4 Unit),3625 S Austin St Unit 3625A,Milwaukee,WI,53207,215000,4,2,Milwaukee,1965,4791,1940,141,109,,Sold,,,http://www.redfin.com/WI/Milwaukee/3625-S-Austin-St-53207/unit-3625A/home/167151137,METROMLS,1645704,N,Y,42.9786064,-87.9079277
PAST SALE,August-19-2019,Multi-Family (2-4 Unit),2752 S Adams Unit Ave,Milwaukee,WI,53207,246000,3,2,Milwaukee,1840,4356,1924,130,134,,Sold,,,http://www.redfin.com/WI/Milwaukee/2752-S-Adams-Ave-53207/home/90238633,METROMLS,1645046,N,Y,42.994434,-87.9025433
PAST SALE,August-15-2019,Multi-Family (2-4 Unit),2829 S Herman St #2831,Milwaukee,WI,53207,245000,4,2,Milwaukee,2304,3920,1908,134,106,,Sold,,,http://www.redfin.com/WI/Milwaukee/2829-S-Herman-St-53207/unit-2831/home/90375020,METROMLS,1646577,N,Y,42.9930485,-87.8959148
PAST SALE,,Multi-Family (2-4 Unit),2840 N Frederick Ave #2842,Milwaukee,WI,53211,290000,7,3,,3752,5207,1912,,77,,,,,http://www.redfin.com/WI/Milwaukee/2840-N-Frederick-Ave-53211/unit-2842/home/90222184,,,N,Y,43.0703732,-87.8838516
PAST SALE,August-5-2019,Multi-Family (2-4 Unit),2825 N Richards St #2827,Milwaukee,WI,53212,85000,6,2,Milwaukee,2386,7405,1889,144,36,,Sold,,,http://www.redfin.com/WI/Milwaukee/2825-N-Richards-St-53212/unit-2827/home/90360208,METROMLS,1641861,N,Y,43.0699891,-87.9081172
PAST SALE,,Multi-Family (2-4 Unit),5861 N Lovers Lane Rd,Milwaukee,WI,53225,134500,3,2,,2466,15431,1890,,55,,,,,http://www.redfin.com/WI/Milwaukee/5861-N-Lovers-Lane-Rd-53225/home/90346640,,,N,Y,43.1243617,-88.0559635
PAST SALE,August-12-2019,Multi-Family (2-4 Unit),4716 N 85th Ct #4718,Milwaukee,WI,53225,141400,5,2,Milwaukee,2211,7405,1962,137,64,,Sold,,,http://www.redfin.com/WI/Milwaukee/4716-N-85th-Ct-53225/unit-4718/home/58068255,METROMLS,1635480,N,Y,43.1043013,-88.0195634
PAST SALE,September-19-2019,Multi-Family (2-4 Unit),8060 W Potomac Ave #8062,Milwaukee,WI,53218,175000,6,2,Milwaukee,2820,7840,1968,99,62,,Sold,,,http://www.redfin.com/WI/Milwaukee/8060-W-Potomac-Ave-53218/unit-8062/home/145703041,METROMLS,1650591,N,Y,43.0994601,-88.0128497
PAST SALE,November-12-2019,Multi-Family (2-4 Unit),3460 N 80th St #3462,Milwaukee,WI,53222,160000,4,2,Milwaukee,1882,19166,1950,45,85,,Sold,,,http://www.redfin.com/WI/Milwaukee/3460-N-80th-St-53222/unit-3462/home/169462229,METROMLS,1660340,N,Y,43.0819833,-88.0121722
PAST SALE,September-27-2019,Multi-Family (5+ Unit),8822 W Congress St #8834,Milwaukee,WI,53225,611000,,,Milwaukee,,23086,1959,91,,,Sold,,,http://www.redfin.com/WI/Milwaukee/8822-W-Congress-St-53225/unit-8834/home/90204676,METROMLS,1651193,N,Y,43.0973105,-88.0234934
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),8035 W Congress St #8037,Milwaukee,WI,53218,159900,6,2,Milwaukee,2568,6534,1959,91,62,,Sold,,,http://www.redfin.com/WI/Milwaukee/8035-W-Congress-St-53218/unit-8037/home/90209354,METROMLS,1662190,N,Y,43.0968479,-88.0134245
PAST SALE,,Multi-Family (2-4 Unit),3527 N 84th St Unit A,Milwaukee,WI,53222,157000,4,2,,2008,5120,1955,,78,,,,,http://www.redfin.com/WI/Milwaukee/3527-N-84th-St-53222/unit-A/home/90209575,,,N,Y,43.083181,-88.017956
PAST SALE,July-9-2019,Multi-Family (2-4 Unit),2657 N Pierce St Unit 2657A,Milwaukee,WI,53212,167900,3,2,Milwaukee,1604,6534,1900,171,105,,Sold,,,http://www.redfin.com/WI/Milwaukee/2657-N-Pierce-St-53212/unit-2657A/home/161918169,METROMLS,1631575,N,Y,43.0669388,-87.9030702
PAST SALE,July-23-2019,Multi-Family (2-4 Unit),2113 E Menlo Blvd #2115,Shorewood,WI,53211,305000,5,2,Milwaukee,2342,4356,1918,157,130,,Sold,,,http://www.redfin.com/WI/Shorewood/2113-E-Menlo-Blvd-53211/unit-2115/home/167109063,METROMLS,1642079,N,Y,43.083933,-87.883311
PAST SALE,August-21-2019,Multi-Family (2-4 Unit),2863 N Buffum St Unit 2863A,Milwaukee,WI,53212,41000,4,2,Milwaukee,1480,3484,1885,128,28,,Sold,,,http://www.redfin.com/WI/Milwaukee/2863-N-Buffum-St-53212/unit-2863A/home/58061892,METROMLS,1646225,N,Y,43.0707276,-87.9067787
PAST SALE,August-30-2019,Multi-Family (2-4 Unit),822 E Auer Ave Unit 822A,Milwaukee,WI,53212,170000,8,3,Milwaukee,3105,3484,1913,119,55,,Sold,,,http://www.redfin.com/WI/Milwaukee/822-E-Auer-Ave-53212/unit-822A/home/168852878,METROMLS,1656729,N,Y,43.07678,-87.900681
PAST SALE,September-20-2019,Multi-Family (2-4 Unit),3348 N Dousman St #3350,Milwaukee,WI,53212,273500,4,2,Milwaukee,2598,4791,1929,98,105,,Sold,,,http://www.redfin.com/WI/Milwaukee/3348-N-Dousman-St-53212/unit-3350/home/58070682,METROMLS,1646595,N,Y,43.0794208,-87.8960275
PAST SALE,,Multi-Family (2-4 Unit),1537 N 53rd St #1539,Milwaukee,WI,53208,137000,4,2,,2072,5490,1916,,66,,,,,http://www.redfin.com/WI/Milwaukee/1537-N-53rd-St-53208/unit-1539/home/90224971,,,N,Y,43.0511149,-87.9803177
PAST SALE,,Multi-Family (2-4 Unit),3443 N Weil St,Milwaukee,WI,53212,260000,8,3,,3224,5535,1923,,81,,,,,http://www.redfin.com/WI/Milwaukee/3443-N-Weil-St-53212/home/90355404,,,N,Y,43.0806903,-87.8991322
PAST SALE,November-22-2019,Multi-Family (2-4 Unit),3350 N Richards St #3352,Milwaukee,WI,53212,110000,4,2,Milwaukee,2004,4356,1907,35,55,,Sold,,,http://www.redfin.com/WI/Milwaukee/3350-N-Richards-St-53212/unit-3352/home/169569372,METROMLS,1665538,N,Y,43.079551,-87.9072954
PAST SALE,December-6-2019,Multi-Family (2-4 Unit),3059 N Newhall St #3061,Milwaukee,WI,53211,278175,5,3,Milwaukee,3381,3920,1910,21,82,,Sold,,,http://www.redfin.com/WI/Milwaukee/3059-N-Newhall-St-53211/unit-3061/home/168422213,METROMLS,1652527,N,Y,43.0741796,-87.8905066
PAST SALE,December-13-2019,Multi-Family (2-4 Unit),1018 E Clarke St #1020,Milwaukee,WI,53212,232000,5,3,Milwaukee,2720,6969,1912,14,85,,Sold,,,http://www.redfin.com/WI/Milwaukee/1018-E-Clarke-St-53212/unit-1020/home/167261534,METROMLS,1647637,N,Y,43.0657485,-87.8985222
PAST SALE,,Multi-Family (2-4 Unit),614 E Locust St,Milwaukee,WI,53212,162000,4,2,,1589,2700,1890,,102,,,,,http://www.redfin.com/WI/Milwaukee/614-E-Locust-St-53212/home/90221112,,,N,Y,43.0712973,-87.9034903
PAST SALE,August-2-2019,Multi-Family (2-4 Unit),2959 N 61st St #2961,Milwaukee,WI,53210,134000,4,2,Milwaukee,2278,6098,1947,147,59,,Sold,,,http://www.redfin.com/WI/Milwaukee/2959-N-61st-St-53210/unit-2961/home/166949823,METROMLS,1638317,N,Y,43.073002,-87.988823
PAST SALE,,Multi-Family (2-4 Unit),2470 N 50th St #2472,Milwaukee,WI,53210,50000,6,2,,2597,4978,1925,,19,,,,,http://www.redfin.com/WI/Milwaukee/2470-N-50th-St-53210/unit-2472/home/90362967,,,N,Y,43.0640477,-87.9758936
