RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,2800,2800,2700,2750,2800,2795,2800,2800,2850,2899,2900,2900,2850,2800,2800,2800,2800,2850,2950,2995,3000,2995,3000,3000,3100,3000,2800,2800,2700,2700,2795,2850,2899,2900,2900,2800,2709,2686,2645,2600,2600,2600,2700,2800,2800,2838.5,2800,2750,2700,2650,2600,2600,2600,2600,2700,2750,2800,2800
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,2350,2400,2411,2500,2500,2585,2800,2500,2750,2800,2750,2750,2865,2600,2800,2800,2800,2795,2700,2625,2600,2557.5,2500,2595,2600,2695,2595,2695,2650,2500,2595,2600,2400,2300,2300,2400,2400,2400,2400,2450,2450,2500,2465,2650,2600,2500,2750,2595,2500,2550,2650,2700,2750,2990,3000,3000,2950,2998,2990,2997,2947.5,2995,3250,3280,3300,3397,3450,3500,3445,3300,3400,3595,3500,3500,3450,3500,3435,3482.5,3350,3592.5,3225,3500,3450,3490,3500,3600,3675,3664.5,3695,3690,3650,3600,3600,3595,3595,3500,3500,3520,3600,3675,3770,3700,3752.5,3700,3697,3695,3600,3600,3600,3595,3650,3700,3754.5,3790
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1250,1250,1300,1300,1375,1300,1400,1335,1425,1400,1450,1355,1400,1350,1325,1375,1450,1450,1450,1450,1475,1495,1495,1495,1495,1500,1595,1609.5,1600,1600,1600,1600,1595,1550,1600,1615.5,1600,1625,1689,1695,1650,1650,1575,1595,1600,1500,1546,1500,1526,1550,1569,1600,1600,1600,1600,1600,1600,1560,1595,1550,1555,1550,1595,1600,1650,1650,1650,1605,1600,1597,1600,1593,1595,1595,1600,1600,1650,1650,1625
Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,,,,,,,,1973,1995,1885,1675,1700,1800,1895,1900,1800,1835,1850,1800,1700,1600,1575,1600,1645,1700,1650,1650,1700,1700,1700,1650,1650,1600,1643,1600,1650,1750,1650,1800,1800,1924,1800,1732,1700,1700,1750,1665,1700,1750,1825,2000,2100,2100,1957,2000,1905,1800,1700,1700,1800,1800,1900,2000,2000,2000,1950,1972,1950,2000,1850,1800,1900,1850,1900,2000,2100,2000,1950,1925,1797,1750,1685,1700,1750,1850,2000,2119,2100,2100,2000,1950,1895,1800,1800,1845,1900,1995,2100,2150,2200,2150,2100,1995,1995,1995,1900,1900,1995,2100,2200,2300,2295,2250
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,1177.5,1100,1050,1150,1040.5,1095,1095,1100,1097.5,1100,1150,1125,1100,1095,1100,1100,1140,1150,1163.5,1100,1099.5,1150,1150,1149,1100,1100,1125,1100,1200.5,1157,1239,1250,1239,1225,1243,1229,1200,1201,1200,1200,1200,1200,1200,1200,1225,1250,1259,1250,1250,1250,1250,1250,1250,1250,1275,1295,1295,1300,1300,1300,1300,1295,1295,1300,1295,1300,1306.5,1300,1300,1318,1300,1300,1300,1295,1300,1295,1300,1325,1350,1375,1390,1395,1395,1375,1350,1350,1345,1345,1345,1350,1368,1400,1400,1400,1400,1400,1395,1385,1450,1400,1450,1400,1425,1450,1450,1475,1475
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,,,1300,1300,1200,1100,1150,1100,1100,1250,1310,1350,1300,1300,1275,1200,1100,1050,1100,1000,1099.5,1150,1200,1350,1400,1397.5,1330,1200,1200,1195,1200,1200,1200,1200,1200,1295,1450,1450,1450,1395,1300,1250,1250,1250,1300,1350,1400,1500,1500,1500,1500,1425,1400,1395,1350,1250,1300,1350,1475,1500,1500,1495,1350,1300,1300,1200,1250,1200,1200,1275,1395,1495,1500,1500,1475,1400,1300,1300,1350,1350,1350,1350,1450,1500,1550,1500,1450,1400,1350,1350,1400,1400,1385,1400,1500,1590,1595,1550,1500
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,,,,,,,995,972.5,995,995,995,995,916,950,950,975,990,1050,1050,999,995,995,975,992,1000,1006.5,999,1024,1009.5,999,1000,1005,1026,1020,1020,1030,1025,1015,1017,1023,1026,1017,1000,999,1000,1000,995,995,1001.5,1050,1075,1050,1050,1095,1080,1060.5,1050,1079.5,1050,1099,1100,1100,1137,1100,1115,1115,1100,1111,1140,1175,1153.5,1095,1099.5,1189,1140,1132,1118,1150,1177.5,1124,1100,1100,1171.5,1200,1250,1253,1323.5,1300,1294.5,1260,1232,1200,1229,1200,1250,1290,1300,1319.5,1339,1370,1370,1390,1356,1382.5,1389,1388,1428.5,1479,1500,1518,1533,1559,1550
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,1197.5,1180,1200,1225,1200,1200,1197.5,1195,1195,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1150,1145,1100,1100,1100,1099,1099,1100,1100,1100,1100,1100,1100,1100,1095,1095,1095,1099,1100,1100,1100,1100,1125,1100,1125,1125,1100,1100,1150,1125,1125,1125,1150,1155,1180,1195,1190,1175,1179,1175,1175,1189,1195,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1225,1250,1250,1250,1250,1250,1250,1250,1215,1250,1295,1295,1300,1300,1325,1325,1300,1325,1320,1300,1300,1325,1350,1350,1395,1399,1395,1400,1400,1425,1450,1425,1450,1460,1485,1495,1500,1500,1515,1500
San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,,2800,2800,2750,2350,2400,2400,2400,2395,2400,2395,2300,2200,2250,2250,2200,2200,2250,2202.5,2150,2195,2200,2200,2200,2250,2200,2245,2200,2169.5,2195,2200,2200,2225,2295,2350,2300,2380,2350,2200,2395,2350,2300,2295,2300,2460,2500,2495,2500,2495,2500,2550,2500,2595,2638,2600,2600,2600,2595,2600,2675,2599.5,2600,2645,2700,2790,2782.5,2750,2795,2709.5,2770,2795,2750,2700,2695,2600,2636,2700,2850,2865,2900,2950,2995,2995,2990,2940,2895,2900,2927.5,2900,2950,2995,3000,2995,3000,3000,3000,2995,2950,2950,3000,3000,3000,3096,3181,3200,3200,3200
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,1275,1395,1250,1275,1397,1395,1350,1253.5,1250,1253.5,1200,1225,1350,1250,1200,1300,1200,1200,1275,1250,1195,1200,1198.5,1249,1285,1468.5,1320,1350,1395,1415,1325,1350,1280,1400,1610,1700,1851,1600,1495,1550,1650,1600,1495,1449,1462.5,1450,1350,1411,1395,1495,1452,1547.5,1600,1550,1510,1650,1650,1495,1400,1495,1500,1500,1600,1742,1750,1695,1550,1528,1652.5,1682.5,1695,1545.5,1562.5,1600,1750,1795,1900,1995,2100,1995,1945,1900,1850,1826,1883,1950,1868,1834,1900,1900,1905,1927.5,1850,1787,1897,1900,1900,1994,1995,2030,2149,2150,1996.5,1995
