RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
United States,0,117.0694864,117.0153801,117.2383465,117.2685624,117.0112782,116.1979753,115.0905019,113.7800253,113.1053985,112.0837525,111.1790879,108.874281,107.4112465,106.6763425,107.9489696,107.8046042,109.1703057,109.3294461,109.193554,108.9417091,108.7431694,108.0784406,107.0238095,106.0779817,105.4969461,105.7377049,106.9302326,107.3644732,107.8083981,107.8963231,107.8884248,107.434465,107.5105384,107.1428571,106.506584,105.9335698,105.8823529,107.2080292,109.056192,111.1910995,112.815405,113.6750077,113.6363636,113.6363636,114.0833661,113.6363636,113.6075949,112.479564,112.3903509,113.7858347,115.7480315,118.0975413,119.8347107,120.3161435,120.5035971,120.3240741,120.1923077,119.9466667,119.4464676,118.3712121,118.8928571,119.6071429,121.1717234,123.5576923,126.1715934,126.6608392,126.1574074,125.8440761,125.9607173,126.1808287,125.8784934,125,124.9,126.7261905,129.1823308,131.7440402,133.1484674,133.7616822,133.6815816,133.273703,133.7123746,133.7571485,133.0357143,131.9366172,131.7223199,133.378933,135.5862631,138.0725652,140.0651466,140.8205841,140.491721,139.9583767,140.4003481,140.5134451,140,138.8888889,139.3884892,141.503268,143.7661647,146.6836735,148.3112734,149.291498,149.5,149.2128679,150.1210654,150.483871,150.2780868,149.2477232,149.2709133,150.3627781,152.5234742,155.2618548,156.0146924,156.4689397,155.9638554,155.3819444
"New York, NY",1,235.4925776,234.1437908,237.5886525,237.2672016,241.2664306,241.2642096,238.2782101,235.2180207,236.9047619,235.89469,234.9256565,232.712766,231.246058,226.4480112,230.6451613,228.4358524,228.125,226.2931034,224.375,223.2142857,222.093878,220.9260733,219.1803954,219.047619,218.1729835,218.9773723,219.7136564,222.5061281,223.3333333,221.5808171,219.667319,217.559875,218.630137,218.5314685,216.3043478,214.7849462,216.5428127,218.5753318,221.5806242,222.4409449,222.6490205,221.1423796,220.4253434,218.5672515,219.5861486,220.3282828,225.4495446,223.9422598,226.23655,229.0816327,231.5526316,234.7058824,237.7928016,241.4975217,238.7635289,237.5,237.5,237.5934738,237.5,239,241.2121212,239.6413111,239.7883899,241.2935323,238.6107352,241.025641,243.7531993,242.5876118,242.3007246,242.9210134,242.7436696,241.1575563,248.75,248.8880561,245.4282964,251.4858874,250,249.9705882,248.373102,246.0227273,247.8956229,249.1365746,250.7374631,249.375,252.8769841,255.7938299,257.358242,258.4713653,263.6901929,264.3558669,264.4230769,260.7971014,264.4576523,267.0940171,269.8587433,271.2,272.6510067,265.4285714,258.7281796,263.6363636,268.7818019,269.009404,269.1176471,267.8571429,271.4285714,273.4375,273.7510064,274.7175141,277.4412284,276.0781423,278.6540484,283.5158736,282.1186304,283.0443131,280.9375,279.9429658
"Los Angeles-Long Beach-Anaheim, CA",2,281.0492505,277.6230071,280.4020101,281.1271298,280.5498982,279.0271132,276.704626,277.0652174,272.2457627,268.2525347,266.7126562,261.1940299,258.0927384,258.0899916,257.8269611,256.6228439,257.198496,257.4375248,256.4351716,254.6165574,251.5243902,248.725232,244.982477,241.3919664,240.6202882,241.247224,243.3690031,245.3389331,249.1277041,253.7154989,256.8418206,258.2387898,259.1579312,259.8710717,262.0614035,264.6030246,270.4551445,277.4588595,289.9466192,301.4244134,310.6652542,318.1003584,322.7057303,324.4421907,326.2919311,325.8390573,325.5813953,324.128189,324.9412555,327.7984022,330.0127768,335.572843,339.8373984,342.6222019,343.8918942,343.0639324,344.0736879,343.1212045,343.9041579,339.8740818,338.4447718,343.9266704,348.173516,353.880356,359.7560976,361.5755154,363.3492418,365.6351792,366.02785,367.1775223,365.7275132,366.8029488,369.2226553,374.5667686,378.6653185,381.8791946,384.4129555,388.1944444,389.2507912,388.7987013,389.2455541,389.8162291,389.9492342,389.0376569,392.1389006,394.3356273,400.7588554,405.2863436,408.4507042,408.2163287,408.8737201,409.3672457,409.952418,411.6083208,413.1010542,412.9500172,415.0487078,421.6444132,423.1760834,426.6089007,429.3372093,432.4045408,431.6256555,430.7748952,431.4676069,432.5626204,431.9164265,429.3394777,429.1688527,430.4635762,433.5260116,435.6060606,436.1027383,437.6805336,439.2605634,438.6892178
"Chicago, IL",3,153.125,153.0035336,153.6214953,153.2025743,151.5433148,150.9056604,148.2243639,147.001176,142.376361,142.4454175,140.3594771,136.0103627,133.1845238,131.5990625,132.3037701,132.6407151,133.0543933,132.1330902,130.9285714,129.1079812,127.6702612,125.1117735,122.2222222,119.4565217,118.9435931,119.362566,119.8123045,120.4464286,120.8325927,121.0263158,118.2817968,117.0835876,116.3962551,115.3846154,114.7020043,112.5523013,112.0354964,114.2330383,117.1691792,120.2046036,123.6979167,125.3175168,124.6793182,124.4665718,124.9375,123.6807388,122.1976781,120.3221516,119.2556818,122.6348984,127.2710833,130.5668016,134.3138347,136.9047619,136.0533181,135.2920228,134.2435094,133.2444875,131.7386036,129.5975768,128.3640424,131.0185185,135.620915,138.1766382,142.7255985,144.0493344,143.4308663,142.4559933,141.4617128,140.5481377,139.1350906,136.8487548,136.3574352,140.1803607,143.9216471,147.425897,149.5448635,152.1111111,151.1299435,149.4444444,148.9410245,148.9416661,148.019802,145.8333333,145.7873996,149.3761675,153.1595717,155.93835,157.0775843,158.0487305,157.4596118,156.171875,155.8597062,155.2995392,154.0179752,152.1491061,152.367441,157.0001847,162.3665893,166.2272164,166.8211231,167.3157213,166.9821826,166.5921382,166.6666667,166.0299003,165.5844156,164.4736842,165,167.6156627,170.2573158,172.662299,170.9701932,170.4214327,169.0913652,167.123586
"Dallas-Fort Worth, TX",4,83.88016489,84.19603347,85,85.47861231,85.69215968,85.36376953,85.01587302,84.38269434,83.91253417,83.76076321,83.46957312,82.28376055,81.54478528,81.58940015,81.82199832,82.08582834,82.84762698,82.70291568,82.61728173,82.35010211,81.95701357,82.39947264,82.16090197,81.7380681,81.74358869,82.77683635,83.1200713,84.0767323,85.31002913,85.71428571,84.98756219,84.56943753,84.21535422,84.57568807,85.26903852,85.64858873,85.59193955,86.87550322,89.3888401,90.67658232,91.6350611,92.15654772,92.30511322,92.4541731,92.44851733,92.79422098,93.00595238,93.39381488,94.30769231,95.69603523,97.05219395,98.18040325,99.60159363,97.99382716,98.49319025,100.6814081,100.7561437,101.5153175,102.3475315,104.3033379,106.1144244,106.5581385,109.9069294,110.5673982,109.5748268,109.7937535,109.8574822,110.0258028,110.5719064,111.8277627,112.3069227,113.9175001,114.6681019,114.8947749,117.3620743,118.7575392,119.8419284,120.5264373,120.7922902,121.3592233,122.0460886,123.9745628,123.6030829,124.185766,125.4341737,126.6232853,128.125,129.5883944,130.2083333,130.5582762,130.2285638,130.28315,130.9441764,131.25,131.3405797,131.9982394,133.2777778,134.7274835,136.1058601,137.1816038,137.8241845,137.7043478,137.2623574,136.5914574,137.2354334,137.2391653,137.3294993,137.1171848,137.0989818,137.3063542,138.4151281,139.766979,139.5410292,139.6919837,139.4109756,139.2045455
"Philadelphia, PA",5,143.1034483,143.96,145.5771976,144.9535963,144.7570423,143.9906611,142.8571429,141.5362679,140.8683869,139.2857143,138.3368201,136.0294118,134.7847256,134.7305389,135.5443189,135.5625,135.9680166,135.3472222,134.0909091,133.2093863,131.5152801,130.3475936,129.132693,127.6666667,127.2727273,127.7126716,129.3673616,129.3859649,129.0934771,128.957529,127.9686673,126.7605634,126.0918675,125.4491044,124.4753358,123.5294118,122.7832378,124.4047619,126.7512077,128.1297134,130.4347826,131.0622752,129.1716902,127.2393901,127.4659864,126.984127,126.7558856,126.1491043,124.2163919,124.5697329,128.35712,131.2377966,132.3941054,132.2357939,130.7012551,129.8076923,129.918337,129.277793,128.5008865,126.5268867,125.0721848,126.5400844,129.6216216,132.7792074,134.4096386,134.08,132.4308756,131.0206963,130.6090986,130.3258254,129.6962927,127.3966911,126.3309353,127.4023662,130.1369863,133.3991462,134.5055949,134.4843049,133.583691,132.2773973,132.3380282,131.9166051,130.7008368,127.9069767,127.8407015,129.4221032,132.3275862,135.501355,137.3852825,137.7597109,137.1308017,135.4539004,136.2735382,137.3405299,136.4764268,134.2706324,133.3841463,135.8265365,137.6116071,140.9254808,142.4802511,144.7172619,144.6827384,143.5306541,143.1990881,143.8689303,143.0555556,142.0454545,142.0747373,142.1463793,146.1055375,149.2600423,150.9433962,152.4943311,151.557678,150.4380952
"Houston, TX",6,81.05446118,81.66666667,81.9594303,81.96721311,81.8634839,81.71318576,80.57443099,80.11235955,80.76508621,80.17191977,80.22014925,79.46922554,79.0627687,79.00526714,79.30293144,79.05598676,79.46113074,79.53662893,79.07200153,78.88879571,77.70775862,78.46268064,77.97199667,78.3007356,78.58989401,78.73634302,79.50093093,80.46753247,80.93492209,81.11658032,80.68234209,80.87111694,81.23353045,81.09382367,81.43187958,82.44810978,82.89407659,85.07028718,86.23829787,87.08463105,88.12458422,89.17712424,89.56608089,89.81736527,90.79235828,92.39543726,91.8535497,92.4406974,93.4153361,95.39466212,96.69058016,98.80564604,99.42452546,99.83663412,100.3257918,101.5816671,102.971948,103.8961039,105.1226532,107.4400667,109.5536413,110.3710355,111.2091606,112.9740458,111.6600791,110.1662043,112.2680856,112.9538568,113.1819425,114.0979206,114.0844267,115.5949191,115.6701159,113.4962717,114.609224,114.6787557,114.8355059,114.825525,114.4938214,114.2571429,114.0482046,114.5038168,113.9934322,114.3110376,115.0086256,115.7805461,116.1369193,116.6263603,116.8037468,116.7632559,116.2798239,116.2790698,116.9304886,116.9666388,117.314865,118.1358702,118.5119695,119.0849387,119.9177599,120.3703704,120.5738119,120.416478,120.1090288,120.020429,120.1540017,120.2896209,120.5273389,120.8944282,121.5161356,121.9441211,122.1298779,123.0299298,123.0807455,123.1417459,122.9294756,122.8210731
"Washington, DC",7,182.1670825,182.3648649,186.3181313,192.2399874,191.8492887,188.6363636,187.1257485,182.5545766,178.505678,178.3768574,176.894724,172.1611722,168.1596091,167.2866521,170.8023774,173.4172115,177.4669623,177.9841025,177.2653959,175.4385965,175.6060606,174.3158341,170.9401709,167.7559913,166.5028706,168.6507937,174.6323529,178.8050964,182.3383085,183.1098072,180.7708261,177.9597915,179.245283,178.8073809,178.0283763,173.3430444,173.4953704,177.2310259,184.171249,191.8018917,195.3914492,196.7460317,194.3731287,193.6026936,197.6632714,196.4686141,194.5854484,189.1982072,186.8609126,190.7774245,195.1530612,198.8067504,203.7305902,203.8043478,202.0212464,199.5352652,200.1574275,199.9333333,197.6495726,192.6140095,189.6315029,191.5198934,196.2149533,200.7537688,204.1112183,203.6990741,196.8375375,200.1028807,201.1822485,201.1797363,198.8068182,196.8405512,195.9171045,200,205.3333333,212.0441052,213.2653061,213.8709677,212.5748503,209.5304307,211.643454,212.8799961,211.6481146,208.3257576,207.0895522,211.0849057,214.6395157,219.08294,221.0341657,221.9202899,219.9074074,217.4722662,220.6350338,220.5882353,218.463292,214.4233347,213.1300215,217.0138889,221.7602218,226.8145161,227.1747212,227.2402597,227.9761905,225,227.5207222,227.9774678,228.5527135,224.3255374,222.2765674,224.6691176,231.6463415,236.3192308,236.9975757,237.4847375,235.5769231,234.8966443
"Miami-Fort Lauderdale, FL",8,151.5141414,150.5766063,147.0588235,144.3638187,144.2583189,140.6847416,137.6,135.8695652,133.0658411,131.1728395,133.276894,130.3240741,128.9628461,131.620496,128.7987874,124.6635901,126.630779,126.4978903,127.0613763,128.1761968,130.0445441,130.7845234,132.1851079,134.0996169,133.2991414,132.3943662,134.4820576,133.28897,132.3745858,132.2876128,136.6245498,136.7021277,138.7660668,127.0935961,129.1276979,131.1715261,134.9763673,137.7952756,139.892292,142.2857143,143.2770263,144.2112853,144.6131598,144.1942072,145.9606246,148.409894,152.8222165,153.6904161,155.995195,157.3636077,157.2777341,158.6399613,158.1665891,160,159.1539675,159.2476338,160.5004355,161.3391864,166.6666667,168.2432432,168.3501684,168.8513514,168.9839572,169.050065,167.7476415,168.4434968,172.2575218,173.585102,174.3676983,175.9544068,181.6290044,182.9521449,186.2272786,188.5394157,188.5321101,191.4139856,192.6105026,194.6816479,196.1145942,196.8503937,199.6336996,201.8404908,203.4493983,204.6176338,204.5340771,205.5789963,205.8823529,206.6420664,208.1863091,209.219457,209.3564776,209.0634559,211.5379121,210.7969283,213.8584247,215.8965897,216.0056657,216.0894661,216.6032491,217.2772785,217.2246301,217.0707071,217.1976828,217.2675522,218.6125635,219.4543298,221.6303191,223.5663082,222.4335521,221.540559,220.7891637,221.5189873,221.3707836,221.7741935,221.4342387,222.8772419
"Atlanta, GA",9,92.83503928,92.68867925,93.39433593,93.88103705,92.50986227,90.85396669,89.74358974,87.67197194,87.26491322,86.64858348,85.05786249,82.18652039,79.95894737,79.41567065,78.46326416,76.8777035,77.39006261,77.13980464,76.35605445,75.59395248,75.18796992,74.58878029,73.24762948,71.9924812,70.90984975,71.50153218,72.17052257,72.11538462,73.55714825,74.74323333,75.97680098,75.41701073,76.98887938,78.60499651,78.76528767,79.42073171,80,82.23684211,84.22619048,86.68193717,88.60119242,90,90.45962096,90.25270758,90.70294785,90.59425231,90.22030072,89.03743316,89.01425178,90.72580645,92.37745098,95.21112269,96.52509653,96.83139535,96.42105263,96.11888112,95.96606361,95.26502078,94.25385935,93.95522388,93.60882957,94.95548961,95.32892176,95.92186429,97.70935026,98.58104858,96.97565341,97.13971397,96.84499517,97.17314488,96.57039711,96.05444322,96.2553495,98.46593864,100.6645817,102.9494382,104.6967278,104.9305768,105.2105263,105.4916067,105.1420298,106.0779948,105.7031742,104.7098402,104.5945994,106.7466419,109.763378,111.8787002,113.0241075,113.9244024,114.2016807,114.0347932,114.1544392,114.9606299,114.2284569,114.7562274,115.5604948,116.7188155,119.8752228,122.6677578,123.7633136,124.1782993,124.2945128,123.6992059,124.2179566,124.3004846,124.4962462,124.4624161,124.9047982,124.8680835,127.1845778,130.6888069,130.3745743,130.9370178,130.3745743,130.3513656
