,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
2,PAST SALE,,Multi-Family (2-4 Unit),6559 N 73rd St #6561,Milwaukee,WI,53223,110000,6.0,3.0,,2426.0,7810.0,1969.0,,45.0,,,,,http://www.redfin.com/WI/Milwaukee/6559-N-73rd-St-53223/unit-6561/home/90196144,,,N,Y,43.1372188,-88.0024694,22000.0,88000.0,-416.50553151321964,-177.5583333333333,-41.24999999999999,,0.9621659372340482,2334.214563729801,-233.4214563729801,-233.4214563729801,-233.4214563729801,-233.4214563729801,-50,-100,-50,565.2148733913273,0.3082990218498149
475,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.9621659372340482,2125.4245553500123,-212.54245553500124,-212.54245553500124,-212.54245553500124,-212.54245553500124,-50,-100,-50,624.7594472279063,0.48058419017531256
575,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.9177927929999999,2027.4042797369998,-202.74042797369998,-202.74042797369998,-202.74042797369998,-202.74042797369998,-50,-100,-50,565.9472818600987,0.43534406296930667
576,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.9189189190000001,2029.8918920710003,-202.98918920710003,-202.98918920710003,-202.98918920710003,-202.98918920710003,-50,-100,-50,567.4398492604989,0.43649219173884535
577,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8636363640000001,1907.7727280760002,-190.77727280760004,-190.77727280760004,-190.77727280760004,-190.77727280760004,-50,-100,-50,494.168350863499,0.38012950066422996
579,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.825568182,1823.680114038,-182.3680114038,-182.3680114038,-182.3680114038,-182.3680114038,-50,-100,-50,443.7127824406989,0.3413175249543838
580,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.846354167,1869.596354903,-186.9596354903,-186.9596354903,-186.9596354903,-186.9596354903,-50,-100,-50,471.26252695969856,0.36250963612284504
581,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.875,1932.875,-193.28750000000002,-193.28750000000002,-193.28750000000002,-193.28750000000002,-50,-100,-50,509.2297140178987,0.39171516462915285
582,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.805882353,1780.194117777,-178.01941177770001,-178.01941177770001,-178.01941177770001,-178.01941177770001,-50,-100,-50,417.6211846840986,0.3212470651416143
583,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8451516059999999,1866.9398976539999,-186.6939897654,-186.6939897654,-186.6939897654,-186.6939897654,-50,-100,-50,469.66865261029875,0.36128357893099905
