,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
304,PAST SALE,,Multi-Family (2-4 Unit),2524 S 8th St #2526,Milwaukee,WI,53215,94000,3.0,2.0,,1346.0,3600.0,1900.0,,70.0,,,,,http://www.redfin.com/WI/Milwaukee/2524-S-8th-St-53215/unit-2526/home/90373779,,,N,Y,42.9985875,-87.92094990000001,23500.0,70500.0,-353.4434764142481,-151.73166666666665,-35.24999999999999,,0.9054983222965125,1218.8007418111058,-121.88007418111059,-121.88007418111059,-121.88007418111059,-121.88007418111059,-100,0,-100,-9.144697994251288,-0.004669633018341083
184,PAST SALE,September-9-2019,Multi-Family (2-4 Unit),4453 N 66th St,Milwaukee,WI,53218,98900,3.0,2.0,Milwaukee,1647.0,5227.0,1958.0,109.0,60.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4453-N-66th-St-53218/home/58062291,METROMLS,1651528.0,N,Y,43.098444,-87.99477900000001,24725.0,74175.0,-371.8676576315866,-159.6410833333333,-37.0875,53218.0,0.8027777779999999,1322.175000366,-132.2175000366,-132.2175000366,-132.2175000366,-132.2175000366,-100,0,-100,24.70875925468019,0.011992117737357422
70,PAST SALE,,Multi-Family (2-4 Unit),5243 N 49th St,Milwaukee,WI,53218,99900,5.0,2.5,,1689.0,7150.0,1946.0,,59.0,,,,,http://www.redfin.com/WI/Milwaukee/5243-N-49th-St-53218/home/58077788,,,N,Y,43.112971,-87.974216,24975.0,74925.0,-375.62769461471686,-161.25525,-37.4625,53218.0,0.8027777779999999,1355.8916670419999,-135.58916670419998,-135.58916670419998,-135.58916670419998,-135.58916670419998,-100,0,-100,39.189555610483154,0.018829816509541457
34,PAST SALE,December-5-2019,Multi-Family (2-4 Unit),10332 W Villard Ave #10334,Milwaukee,WI,53225,97000,4.0,2.0,William Park,1901.0,7840.0,1957.0,22.0,51.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/10332-W-Villard-Ave-53225/unit-10334/home/58063950,METROMLS,1665379.0,N,Y,43.1123852,-88.04198249999999,24250.0,72750.0,-364.723587363639,-156.57416666666666,-36.37499999999999,53225.0,0.7209409590000001,1370.508763059,-137.0508763059,-137.0508763059,-137.0508763059,-137.0508763059,-100,0,-100,64.6325038050943,0.031983094666438415
181,PAST SALE,,Multi-Family (2-4 Unit),8915 W Monrovia Ave,Milwaukee,WI,53225,94000,4.0,2.0,,1901.0,7000.0,1958.0,,49.0,,,,,http://www.redfin.com/WI/Milwaukee/8915-W-Monrovia-Ave-53225/home/90345354,,,N,Y,43.1312268,-88.023666,23500.0,70500.0,-353.4434764142481,-151.73166666666665,-35.24999999999999,53225.0,0.7209409590000001,1370.508763059,-137.0508763059,-137.0508763059,-137.0508763059,-137.0508763059,-100,0,-100,81.88011475448513,0.041811122427822194
127,PAST SALE,,Multi-Family (2-4 Unit),4636 N 46th St,Milwaukee,WI,53218,83000,4.0,2.0,,1564.0,6028.0,1952.0,,53.0,,,,,http://www.redfin.com/WI/Milwaukee/4636-N-46th-St-53218/home/90350750,,,N,Y,43.101638799999996,-87.9702143,20750.0,62250.0,-312.08306959981485,-133.97583333333333,-31.125,53218.0,0.8027777779999999,1255.544444792,-125.5544444792,-125.5544444792,-125.5544444792,-125.5544444792,-100,0,-100,76.14276394205172,0.04403436950865641
103,PAST SALE,,Multi-Family (2-4 Unit),6302 W Richmond Ave,Milwaukee,WI,53210,86500,3.0,2.0,,1908.0,5760.0,1929.0,,45.0,,,,,http://www.redfin.com/WI/Milwaukee/6302-W-Richmond-Ave-53210/home/90218987,,,N,Y,43.0710064,-87.9908653,21625.0,64875.0,-325.24319904077083,-139.62541666666667,-32.43749999999999,53210.0,0.6805444359999999,1298.478783888,-129.8478783888,-129.8478783888,-129.8478783888,-129.8478783888,-100,0,-100,81.78115462536232,0.045381449965518975
99,PAST SALE,November-8-2019,Multi-Family (2-4 Unit),5742 N 99th St #5744,Milwaukee,WI,53225,91000,6.0,2.0,Milwaukee,2024.0,5662.0,1964.0,49.0,45.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5742-N-99th-St-53225/unit-5744/home/169291205,METROMLS,1662745.0,N,Y,43.122289,-88.035352,22750.0,68250.0,-342.1633654648572,-146.88916666666665,-34.12499999999999,53225.0,0.7209409590000001,1459.1845010160002,-145.91845010160003,-145.91845010160003,-145.91845010160003,-145.91845010160003,-100,0,-100,152.33316847807646,0.08035156139502934
307,PAST SALE,,Multi-Family (2-4 Unit),6201 W Girard Ave #6203,Milwaukee,WI,53210,97500,4.0,2.0,,2283.0,10248.0,1929.0,,43.0,,,,,http://www.redfin.com/WI/Milwaukee/6201-W-Girard-Ave-53210/unit-6203/home/90358478,,,N,Y,43.0723475,-87.9897953,24375.0,73125.0,-366.60360585520414,-157.38125,-36.56249999999999,53210.0,0.6805444359999999,1553.6829473879998,-155.3682947388,-155.3682947388,-155.3682947388,-155.3682947388,-100,0,-100,171.66241257759606,0.08451072619204728
153,PAST SALE,,Multi-Family (2-4 Unit),2751 S 15th St,Milwaukee,WI,53215,91000,4.0,2.0,,1632.0,3750.0,1914.0,,56.0,,,,,http://www.redfin.com/WI/Milwaukee/2751-S-15th-St-53215/home/90236916,,,N,Y,42.9944959,-87.9316489,22750.0,68250.0,-342.1633654648572,-146.88916666666665,-34.12499999999999,,0.9054983222965125,1477.7732619879084,-147.77732619879086,-147.77732619879086,-147.77732619879086,-147.77732619879086,-100,0,-100,163.4864250612211,0.08623459783449025
