SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3624 N 86th St Unit 3264A,Milwaukee,WI,53222,115000,6,2,Milwaukee,2860,5227,1955,1,40,,Active,,,http://www.redfin.com/WI/Milwaukee/3624-N-86th-St-53222/unit-3264A/home/170405534,METROMLS,1674170,N,Y,43.083927,-88.019755
MLS Listing,,Multi-Family (2-4 Unit),3220 N 30th St,Milwaukee,WI,53216,5000,5,2,Milwaukee,2958,3920,1911,1,2,,Active,,,http://www.redfin.com/WI/Milwaukee/3220-N-30th-St-53216/home/57832027,METROMLS,1674166,N,Y,43.0775661,-87.9506157
MLS Listing,,Multi-Family (2-4 Unit),2665 N 45 St,Milwaukee,WI,53210,115900,6,2,Milwaukee,2913,5227,1924,1,40,,Active,,,http://www.redfin.com/WI/Milwaukee/2665-N-45th-St-53210/home/90363049,METROMLS,1674158,N,Y,43.0675512,-87.9703151
MLS Listing,,Multi-Family (2-4 Unit),1323 N 31st St,Milwaukee,WI,53208,24,6,2,Milwaukee,4197,3920,1913,1,0,,Active,,,http://www.redfin.com/WI/Milwaukee/1323-N-31st-St-53208/home/90228251,METROMLS,1674119,N,Y,43.0479214,-87.952683
MLS Listing,,Multi-Family (2-4 Unit),2954 N 19th St,Milwaukee,WI,53206,5000,4,2,Milwaukee,1930,3484,1910,1,3,,Active,,,http://www.redfin.com/WI/Milwaukee/2954-N-19th-St-53206/home/68335781,METROMLS,1674100,N,Y,43.072615,-87.9365632
MLS Listing,,Multi-Family (2-4 Unit),2906 N 45th St #2908,Milwaukee,WI,53210,139900,6,2,Milwaukee,3160,4356,1926,1,44,,Active,,,http://www.redfin.com/WI/Milwaukee/2906-N-45th-St-53210/unit-2908/home/58056128,METROMLS,1674097,N,Y,43.0718203,-87.9695835
MLS Listing,,Multi-Family (2-4 Unit),2326 N 17th St #2328,Milwaukee,WI,53206,11840,4,2,Milwaukee,4195,3920,1890,1,3,,Active,,,http://www.redfin.com/WI/Milwaukee/2326-N-17th-St-53206/unit-2328/home/170400791,METROMLS,1674093,N,Y,43.061114,-87.933533
MLS Listing,,Multi-Family (2-4 Unit),1911 W Chambers St #1913,Milwaukee,WI,53206,38500,4,2,Milwaukee,2618,3484,1924,1,15,,Active,,,http://www.redfin.com/WI/Milwaukee/1911-W-Chambers-St-53206/unit-1913/home/146373604,METROMLS,1674092,N,Y,43.0730785,-87.9372655
MLS Listing,,Multi-Family (2-4 Unit),2739 N 41st St #2741,Milwaukee,WI,53210,23000,6,2,Milwaukee,2780,4791,1916,1,8,,Active,,,http://www.redfin.com/WI/Milwaukee/2739-N-41st-St-53210/unit-2741/home/170017134,METROMLS,1674087,N,Y,43.068816,-87.964851
MLS Listing,,Multi-Family (2-4 Unit),2513 N 39th St #2515,Milwaukee,WI,53210,15000,7,2,Milwaukee,2899,4791,1914,1,5,,Active,,,http://www.redfin.com/WI/Milwaukee/2513-N-39th-St-53210/unit-2515/home/146369673,METROMLS,1674078,N,Y,43.0646262,-87.9625204
MLS Listing,,Multi-Family (2-4 Unit),2327 N 14th St #2329,Milwaukee,WI,53206,5000,4,2,Milwaukee,4550,6534,1906,1,1,,Active,,,http://www.redfin.com/WI/Milwaukee/2327-N-14th-St-53206/unit-2329/home/170399997,METROMLS,1674073,N,Y,43.0610615,-87.930191
MLS Listing,,Multi-Family (2-4 Unit),2558 S 9th Pl,Milwaukee,WI,53215,47200,5,2,Milwaukee,2317,3484,1904,1,20,,Active,,,http://www.redfin.com/WI/Milwaukee/2558-S-9th-Pl-53215/home/58075202,METROMLS,1674051,N,Y,42.9979267,-87.923464
MLS Listing,,Multi-Family (2-4 Unit),2960 S Delaware St #2958,Milwaukee,WI,53207,279000,6,2,Milwaukee,2204,3484,1909,1,127,,Active,,,http://www.redfin.com/WI/Milwaukee/2960-S-Delaware-Ave-53207/unit-2958/home/112348739,METROMLS,1674017,N,Y,42.9902814,-87.8808048
MLS Listing,,Multi-Family (2-4 Unit),2781 N Sholes Ave #2783,Milwaukee,WI,53210,219900,5,2,Milwaukee,2594,4791,1932,1,85,,Active,,,http://www.redfin.com/WI/Milwaukee/2781-N-Sholes-Ave-53210/unit-2783/home/146367859,METROMLS,1673955,N,Y,43.069943,-87.994547
MLS Listing,,Multi-Family (2-4 Unit),3629 N 84th St #3631,Milwaukee,WI,53222,189500,6,2,Milwaukee,2240,5662,1956,2,85,,Active,,,http://www.redfin.com/WI/Milwaukee/3629-N-84th-St-53222/unit-3631/home/58076998,METROMLS,1673917,N,Y,43.0840596,-88.0179659
MLS Listing,,Multi-Family (2-4 Unit),2412 N 7th St,Milwaukee,WI,53212,54900,6,2,Milwaukee,2288,6098,1904,2,24,,Active,,,http://www.redfin.com/WI/Milwaukee/2412-N-7th-St-53212/home/90223528,METROMLS,1673799,N,Y,43.0624833,-87.9195258
MLS Listing,,Multi-Family (2-4 Unit),3325 N Humboldt Blvd #3327,Milwaukee,WI,53212,275000,6,2,Milwaukee,2243,5662,1924,3,123,,Active,,,http://www.redfin.com/WI/Milwaukee/3325-N-Humboldt-Blvd-53212/unit-3327/home/170361853,METROMLS,1673760,N,Y,43.078947,-87.89807
MLS Listing,,Multi-Family (2-4 Unit),2168 S 16th St Unit 2168A,Milwaukee,WI,53215,50000,4,2,Milwaukee,2113,3920,1889,3,24,,Active,,,http://www.redfin.com/WI/Milwaukee/2168-S-16th-St-53215/unit-2168A/home/170361668,METROMLS,1673749,N,Y,43.004998,-87.932939
MLS Listing,,Multi-Family (2-4 Unit),2932 N 75th St #2934,Milwaukee,WI,53210,199000,4,2,Milwaukee,,9147,1940,4,,,Active,,,http://www.redfin.com/WI/Milwaukee/2932-N-75th-St-53210/unit-2934/home/90358166,METROMLS,1673650,N,Y,43.0724963,-88.0056884
MLS Listing,,Multi-Family (2-4 Unit),1420 N 48th St #1422,Milwaukee,WI,53208,150000,5,2,Milwaukee,2284,3484,1914,4,66,,Active,,,http://www.redfin.com/WI/Milwaukee/1420-N-48th-St-53208/unit-1422/home/170359959,METROMLS,1673649,N,Y,43.0493833,-87.9734182
MLS Listing,,Multi-Family (2-4 Unit),2855 N 50th St #2857,Milwaukee,WI,53210,124000,6,2,Milwaukee,2734,5227,1925,6,45,,Active,,,http://www.redfin.com/WI/Milwaukee/2855-N-50th-St-53210/unit-2857/home/58058908,METROMLS,1673413,N,Y,43.0710166,-87.9764919
MLS Listing,,Multi-Family (2-4 Unit),2751 N 41st St #2753,Milwaukee,WI,53210,129900,6,2,Milwaukee,2962,4791,1920,7,44,,Active,,,http://www.redfin.com/WI/Milwaukee/2751-N-41st-St-53210/unit-2753/home/90359190,METROMLS,1673326,N,Y,43.0690354,-87.9648488
