SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Other,2025 W Warnimont Ave,Milwaukee,WI,53221,256000,8,1,,,9700,1960,,,,,,,http://www.redfin.com/WI/Milwaukee/2025-W-Warnimont-Ave-53221/home/90246021,,,N,Y,42.9790523,-87.9395722
PAST SALE,,Multi-Family (2-4 Unit),302 E Oklahoma Ave #304,Milwaukee,WI,53207,180000,4,2,,1650,5700,1944,,109,,,,,http://www.redfin.com/WI/Milwaukee/302-E-Oklahoma-Ave-53207/unit-304/home/90239425,,,N,Y,42.988559,-87.9066216
PAST SALE,,Multi-Family (2-4 Unit),2962 S Logan Ave,Milwaukee,WI,53207,120000,4,2,,1892,5160,1907,,63,,,,,http://www.redfin.com/WI/Milwaukee/2962-S-Logan-Ave-53207/home/90238762,,,N,Y,42.9905659,-87.8965258
PAST SALE,September-26-2019,Multi-Family (2-4 Unit),4245 S 1st St,Milwaukee,WI,53207,190000,3,2,Milwaukee,1569,4791,1951,120,121,,Sold,,,http://www.redfin.com/WI/Milwaukee/4245-S-1st-St-53207/home/58064047,METROMLS,1653514,N,Y,42.9672914,-87.9111273
PAST SALE,October-30-2019,Multi-Family (2-4 Unit),2846 S Linebarger Ter #2848,Milwaukee,WI,53207,250000,5,2,Milwaukee,3036,5227,1913,86,82,,Sold,,,http://www.redfin.com/WI/Milwaukee/2846-S-Linebarger-Ter-53207/unit-2848/home/146369991,METROMLS,1638444,N,Y,42.9912135,-87.8882511
PAST SALE,October-15-2019,Multi-Family (2-4 Unit),4262 S 14th St #4264,Milwaukee,WI,53221,216000,6,2,Milwaukee,2058,8276,1957,101,105,,Sold,,,http://www.redfin.com/WI/Milwaukee/4262-S-14th-St-53221/unit-4264/home/90248105,METROMLS,1659557,N,Y,42.9673012,-87.9302157
PAST SALE,November-18-2019,Multi-Family (2-4 Unit),2047 W Warnimont Ave,Milwaukee,WI,53221,279000,,,Milwaukee,3096,9583,1960,67,90,,Sold,,,http://www.redfin.com/WI/Milwaukee/2047-W-Warnimont-Ave-53221/home/90379227,METROMLS,1659777,N,Y,42.9787931,-87.9399669
PAST SALE,November-25-2019,Multi-Family (2-4 Unit),2157 S 66th St #2159,Milwaukee,WI,53219,165000,4,2,West Allis,1991,4791,1928,60,83,,Sold,,,http://www.redfin.com/WI/West-Allis/2157-S-66th-St-53219/unit-2159/home/169401283,METROMLS,1663506,N,Y,43.0055699,-87.9947897
PAST SALE,November-26-2019,Multi-Family (2-4 Unit),2112 S 61st St #2114,West Allis,WI,53219,162500,5,2,Joseph Juneau Subdivision,1848,4356,1925,59,88,,Sold,,,http://www.redfin.com/WI/West-Allis/2112-S-61st-St-53219/unit-2114/home/169383844,METROMLS,1663227,N,Y,43.006193,-87.9885627
PAST SALE,November-1-2019,Multi-Family (5+ Unit),3240 S 49th St,Milwaukee,WI,53219,485000,,,Milwaukee,4448,10890,1952,84,109,,Sold,,,http://www.redfin.com/WI/Milwaukee/3240-S-49th-St-53219/home/90242260,METROMLS,1658673,N,Y,42.9856574,-87.9750916
PAST SALE,,Other,2400 W Layton Ave,Milwaukee,WI,53221,260000,8,1,,,9600,1959,,,,,,,http://www.redfin.com/WI/Milwaukee/2400-W-Layton-Ave-53221/home/58053504,,,N,Y,42.9596538,-87.9449493
PAST SALE,,Multi-Family (2-4 Unit),3014 S 48th St #3016,Milwaukee,WI,53219,180000,4,2,,2182,4920,1920,,82,,,,,http://www.redfin.com/WI/Milwaukee/3014-S-48th-St-53219/unit-3016/home/90239753,,,N,Y,42.9898192,-87.9737287
PAST SALE,November-1-2019,Multi-Family (5+ Unit),3250 S 49th St,Milwaukee,WI,53219,485000,,,Milwaukee,4448,10890,1952,84,109,,Sold,,,http://www.redfin.com/WI/Milwaukee/3250-S-49th-St-53219/home/90242258,METROMLS,1658477,N,Y,42.9854296,-87.9750916
PAST SALE,November-15-2019,Multi-Family (2-4 Unit),4127 N 84th St #4129,Milwaukee,WI,53222,176000,6,2,Milwaukee,2192,6534,1955,70,80,,Sold,,,http://www.redfin.com/WI/Milwaukee/4127-N-84th-St-53222/unit-4129/home/146368523,METROMLS,1663472,N,Y,43.092431,-88.017939
PAST SALE,November-8-2019,Multi-Family (2-4 Unit),7936 W Becher St #7938,West Allis,WI,53219,179500,4,2,West Allis,1900,5227,1954,77,94,,Sold,,,http://www.redfin.com/WI/West-Allis/7936-W-Becher-St-53219/unit-7938/home/168933233,METROMLS,1657812,N,Y,43.0065086,-88.0127077
PAST SALE,September-30-2019,Multi-Family (2-4 Unit),2901 W Bottsford Ave,Greenfield,WI,53221,183000,5,2,Greenfield,1860,10018,1946,116,98,,Sold,,,http://www.redfin.com/WI/Greenfield/2901-W-Bottsford-Ave-53221/home/90328906,METROMLS,1642212,N,Y,42.9643713,-87.9514196
PAST SALE,,Multi-Family (2-4 Unit),5783 S 13th St #5785,Milwaukee,WI,53221,220000,6,3,,2167,6000,1969,,102,,,,,http://www.redfin.com/WI/Milwaukee/5783-S-13th-St-53221/unit-5785/home/90252045,,,N,Y,42.9394842,-87.9298846
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),2238 S 6th St #2240,Milwaukee,WI,53215,100000,4,2,Lincoln Village,1974,26571,1923,140,51,,Sold,,,http://www.redfin.com/WI/Milwaukee/2238-S-6th-St-53215/unit-2240/home/90371306,METROMLS,1644620,N,Y,43.0037065,-87.9184399
PAST SALE,,Single Family Residential,318 E Deer Pl #324,Milwaukee,WI,53207,425000,1,1,,722,10012,1910,,589,,,,,http://www.redfin.com/WI/Milwaukee/318-E-Deer-Pl-53207/unit-324/home/90319302,,,N,Y,42.9969798,-87.9063335
PAST SALE,November-15-2019,Multi-Family (2-4 Unit),324 E Burdick Ave #328,Milwaukee,WI,53207,140000,5,3,Milwaukee,2074,6969,1895,70,68,,Sold,,,http://www.redfin.com/WI/Milwaukee/324-E-Burdick-Ave-53207/unit-328/home/167846298,METROMLS,1650354,N,Y,42.9858104,-87.9060307
