RegionName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
United States,0,,1.363636364,1.385161468,1.359516616,1.417473678,1.242399076,1.125,1.209645644,1.25,1.253914723,1.269548234,1.2,1.211072664,1.265822785,1.344086022,1.361386139,1.333333333,1.333333333,1.330579723,1.276595745,1.156286353,1.142857143,1.18,1.175,1.189309577,1.226666667,1.214183381,1.234359962,1.25,1.25,1.25,1.25,1.25,1.25,1.212543554,1.170332854,1.219512195,1.238019169,1.227561197,1.24327957,1.213592233,1.280871671,1.294117647,1.382978723,1.403109594,1.405882353,1.433999649,1.430996676,1.4,1.383587786,1.404494382,1.541666667,1.63203125,1.538778878,1.5,1.504854369,1.473333333,1.449275362,1.440217391,1.458673933,1.520833333,1.546282246,1.550077115,1.570238095,1.579166667,1.600938967,1.600687285,1.579676731,1.567567568,1.55,1.5625,1.572448337,1.601180438,1.608808923,1.607319486,1.610268378,1.591187271,1.645121951,1.579166667,1.559984424,1.541307028,1.569715142,1.516159696,1.583333333,1.577256944,1.600496278,1.627510666,1.631578947,1.628816585,1.625,1.634746922,1.606425703,1.603343185,1.612202689,1.620643432,1.623931624,1.640625,1.658333333,1.682063125,1.70751634,1.714017228,1.717791411,1.722222222,1.696859903,1.690721649,1.6875,1.696428571,1.698646986,1.716650438,1.740740741,1.754280822,1.757142857,1.757437275,1.753689396,1.743119266
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.090909091,3.015484923,2.938888889,2.88018583,2.863636364,2.928863371,2.947368421,2.929905713,2.992778936,2.875,2.9,2.861390348,2.9,2.887537994,2.8125,2.777777778,2.777777778,2.8,2.820163488,2.823795181,2.933333333,3,3,3,2.917771883,2.875,2.882352941,2.909090909,2.731585198,2.877237852,2.857142857,2.849206349,2.931701031,3,2.999,2.954545455,2.88671024,2.846153846,2.767692308,2.720588235,2.714285714,2.689393939,2.631076098,2.649501661,2.703222999,2.751196172,2.779700115,2.75,2.729202218,2.668984276,2.666666667,2.666666667,2.662790698,2.631578947,2.651898734,2.679169457,2.761904762,2.769230769,2.8,2.769640962,2.741935484
"Los Angeles-Long Beach-Anaheim, CA",2,,1.661918329,1.666666667,1.646688678,1.650887574,1.666666667,1.626176659,1.621338912,1.642335766,1.64130363,1.655273438,1.649746193,1.638607033,1.617647059,1.63004961,1.653535025,1.666666667,1.665295749,1.662049861,1.65,1.633421751,1.666666667,1.666666667,1.695074433,1.736842105,1.75,1.739130435,1.75,1.75,1.76292478,1.761815579,1.771479185,1.777173913,1.772222222,1.755326499,1.774519717,1.794258373,1.843376158,1.842105263,1.856805199,1.835205993,1.825011759,1.827888889,1.827547592,1.833786583,1.826496319,1.90087146,1.882352941,1.856738926,1.856312292,1.9,1.930106215,1.964285714,1.977894737,1.993067591,2.009255444,2.060774169,2.075226978,2.085635359,2.093734422,2.1018968,2.111111111,2.138888889,2.165109034,2.170912951,2.194357367,2.215767635,2.21302999,2.216535433,2.264705882,2.274233637,2.300399202,2.301282051,2.32,2.321428571,2.304572784,2.327777778,2.360234332,2.32,2.367804878,2.270737867,2.291960508,2.260073801,2.344411765,2.429657644,2.483530962,2.477329831,2.484798231,2.5,2.499285714,2.516532618,2.512658228,2.516600383,2.502374169,2.525906736,2.505507576,2.540322581,2.551020408,2.592592593,2.617443869,2.624282534,2.631578947,2.658830109,2.639296188,2.665069932,2.682926829,2.694119342,2.679300216,2.698772478,2.727272727,2.763954791,2.766953792,2.779720357,2.778471276,2.797682266
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8125,1.785714286,1.8125,1.8125,1.823303167,1.782178218,1.755826558,1.714285714,1.726548673,1.720544218,1.714285714,1.75625,1.78125,1.797368421,1.833333333,1.846889952,1.81,1.833333333,1.869333333,1.9125,1.958333333,1.938814507,1.90592361,1.941640798,1.957277607,1.962121212,1.975776877,1.99375,2.005347594,2.046783626,2.064516129,1.975,1.993333333,1.99,2.027888446,2.115294118,2.125,2.058823529,2.055555556,2.055555556,2.03,2
"Dallas-Fort Worth, TX",4,,,,,,,,,1.082653061,1.054429233,1.127659574,1.031473534,0.977542933,0.97557384,0.967741935,0.961253092,0.968013468,0.955991327,0.914187643,0.912919492,0.933021807,0.946132597,0.985486212,0.994212963,0.997969543,1.03014387,1,1.018518519,1.037426901,1.028826369,1.037002807,1.044158702,1.042402827,1.045890122,1.054103914,1.099690859,1.070637343,1.086792453,1.076923077,1.101374976,1.109677419,1.110421836,1.064302122,1.112867363,1.13022508,1.146788991,1.141526927,1.13458529,1.13323124,1.136917188,1.179039301,1.186141304,1.182771289,1.168881939,1.153846154,1.151552795,1.155285313,1.2,1.166666667,1.13341237,1.189572454,1.188335358,1.2038869,1.211538462,1.228891748,1.236351959,1.244640496,1.250692521,1.257267442,1.290270676,1.29472693,1.301925032,1.309164149,1.341448597,1.33087801,1.342715133,1.343345088,1.347931873,1.331360947,1.377121081,1.324110672,1.324803378,1.30532972,1.374273859,1.38466438,1.418918919,1.443001443,1.461245235,1.489432703,1.483209811,1.484957882,1.448109413,1.432098765,1.468574984,1.479187817,1.472146694,1.520547945,1.515682657,1.519608681,1.539031443,1.538461538,1.542183623,1.542635659,1.539777588,1.565656566,1.565217391,1.557142857,1.554402931,1.569478908,1.582466568,1.569087212,1.569186876,1.560509314,1.557432432,1.544941755
"Philadelphia, PA",5,1.120517928,1.138433515,1.214037866,1.183459114,1.183970856,1.191616611,1.173428799,1.152892562,1.188888889,1.148796499,1.145953757,1.198719836,1.203703704,1.198666667,1.205357143,1.180021954,1.189907944,1.183841489,1.187051435,1.181724364,1.215213358,1.27027027,1.284708015,1.291666667,1.309090909,1.340909091,1.37492515,1.370790889,1.364097363,1.358631173,1.293413174,1.259259259,1.243243243,1.243972999,1.24137931,1.238095238,1.259659969,1.252475248,1.276797608,1.30952381,1.285231298,1.264251205,1.248482143,1.266548985,1.263157895,1.3,1.25494947,1.261829653,1.262135922,1.260869565,1.295641932,1.353472158,1.357233045,1.356521739,1.333333333,1.309846432,1.297851221,1.291836735,1.278920308,1.28125,1.313269494,1.372034885,1.401654412,1.40625,1.387910939,1.381837361,1.367419738,1.348555626,1.35483871,1.404151404,1.384193079,1.42717803,1.449152542,1.466108149,1.5,1.522907806,1.50862069,1.49579932,1.481481481,1.457444681,1.454545455,1.417649754,1.45691906,1.455223881,1.473314917,1.55298574,1.564225182,1.584615385,1.580226904,1.585743802,1.605772671,1.566757493,1.546391753,1.549586777,1.550925926,1.55,1.581632653,1.666666667,1.714285714,1.771561772,1.75,1.709752388,1.673913043,1.651735554,1.633471646,1.642795353,1.640618641,1.670802316,1.69845447,1.734274711,1.75,1.742857143,1.733103246,1.713235294,1.692895963
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087321579,1.088308458,1.085141903,1.030648784,1.05921681,1.06512301,1.084337778,1.109131371,1.068200493,1.153846154,1.170091324,1.278501629,1.286085826,1.256818204,1.185430464,1.281190019,1.184233835,1.158536585,1.181506849,1.26584022,1.27739726,1.272683941,1.25,1.308035678,1.324457922,1.264106134,1.266756032,1.276056338,1.278962002,1.292743953,1.310008857,1.327309018,1.340145656,1.346633416,1.348736462,1.357844462,1.350447951,1.514642821,1.481977343,1.502611094,1.429276316,1.460150376,1.444176707,1.440485216,1.41038526,1.400678267,1.370588235,1.37585377,1.343591079,1.305520394,1.303882195,1.359083354,1.392857143,1.380880121,1.388219545,1.408684547,1.392361111,1.386958643,1.39747191,1.416253717,1.436038514,1.439393939,1.441908714,1.433262712,1.475982533,1.484162752,1.484924623,1.475076286,1.468058968,1.463768116,1.467248908,1.458333333,1.440379404,1.442819149,1.43223279,1.430536451,1.4267702,1.476628895,1.457159392,1.455773956,1.4659271,1.472049689,1.469571455
"Washington, DC",7,1.580185285,1.6,1.623751346,1.575286679,1.591511936,1.563921172,1.539225422,1.608945527,1.599812909,1.610912698,1.647834275,1.622137405,1.609643074,1.601204819,1.635978366,1.635564415,1.621728291,1.616297763,1.650825826,1.696687268,1.627906977,1.679389313,1.710041793,1.740331492,1.773940345,1.839203675,1.875709354,1.968777245,1.945637031,1.89450545,1.820817585,1.811133201,1.878980892,1.893712575,1.89701897,1.903435469,1.940976163,1.991570074,1.953393295,1.859589041,1.892795353,1.90349947,1.963993453,1.9709669,1.952210275,1.930896735,1.882183908,1.911468813,1.909323116,1.9,1.928571429,2.011699507,2.014758053,2.123873874,2.162818955,2.063253012,2.023929471,2.017039578,1.989411765,1.987681971,2.052980132,2.04989019,2.097166986,2.073732719,2.083648512,2.077531076,2.081,2.075428157,2.056145118,2.032258065,2.021273899,2.041223404,2.059571298,2.066715011,2.079207921,2.073175585,2.08,2.027562136,1.995929444,1.935483871,1.948051948,1.928988249,1.994047619,2.039591074,2.075356766,2.128378378,2.132446649,2.115536398,2.137546468,2.136272606,2.172852598,2.101365663,2.132253269,2.141482194,2.115630042,2.12866016,2.146124524,2.168081638,2.192982456,2.220009911,2.246621622,2.230769231,2.257625168,2.219578203,2.225557039,2.229395604,2.294117647,2.32231405,2.287157287,2.31126597,2.347949081,2.361618799,2.378078818,2.36018054,2.353732347
"Miami-Fort Lauderdale, FL",8,,1.773132393,1.677615519,1.621879513,1.655400776,1.574468085,1.54431657,1.651224672,1.603325416,1.611111111,1.590909091,1.5,1.472556894,1.470588235,1.474575032,1.472222222,1.46,1.444444444,1.443906159,1.457975986,1.426426426,1.414146179,1.404494382,1.388888889,1.391752577,1.4,1.392857143,1.386321627,1.41723356,1.407575882,1.403641882,1.399275578,1.367142857,1.362112322,1.360759494,1.363636364,1.378446115,1.393442623,1.395348837,1.412331407,1.458333333,1.557632399,1.561106155,1.549295775,1.557058117,1.568627451,1.581632653,1.529636711,1.5,1.482102908,1.460176991,1.527777778,1.558659218,1.579720794,1.589209152,1.601164483,1.593406593,1.574881639,1.578947368,1.600985222,1.627906977,1.676245211,1.690140845,1.770833333,1.841632053,1.837606838,1.860465116,1.816909371,1.847575058,1.846965699,1.839622642,1.839844817,1.875,1.894664843,1.838610827,1.829268293,1.813613407,1.746724891,1.748416135,1.794616152,1.777777778,1.890832697,1.715517241,1.8,1.820020222,1.833333333,1.82320442,1.841517857,1.836884644,1.833333333,1.866666667,1.881258941,1.885135135,1.885779369,1.890756303,1.890267965,1.918465228,1.914942529,1.949685535,1.960514233,1.960560147,1.955577493,1.961940493,1.968826907,1.988973594,1.96875,1.952334585,1.958333333,1.966666667,1.971830986,1.99793246,2,1.985365854,1.990427349,1.99051362
"Atlanta, GA",9,1.045147237,0.941304612,0.946827508,0.963857436,0.954292609,0.807065845,0.734496184,0.866551127,0.909090909,0.896415342,0.982800983,0.847593583,0.89672947,0.890804598,0.867924528,0.866518736,0.833333333,0.816023739,0.837004405,0.844155844,0.803858521,0.811320755,0.825,0.804441927,0.880541872,0.874200086,0.853278464,0.862794613,0.853223594,0.860426152,0.893078571,0.862394958,0.894826124,0.905245347,0.876270592,0.851890756,0.880470272,0.848236981,0.853941267,0.85116342,0.839222615,0.890481064,0.877192982,0.916666667,0.904645477,0.909401816,0.966828479,1.04347377,1.021256932,1.0375,1.055509566,1.040381611,1.054594485,1.029868578,1.022099611,1.038412382,1.016806723,1.068941809,1.066511055,1.089835453,1.117852273,1.119402985,1.13430127,1.18170581,1.227272727,1.206974496,1.206563707,1.178313253,1.164148352,1.275649795,1.275924256,1.286363636,1.2754296,1.29941127,1.287553648,1.164880462,1.238096502,1.196319018,1.202380952,1.260014567,1.203522505,1.202173913,1.197446809,1.273713212,1.278571429,1.314636284,1.337308348,1.381679389,1.365114438,1.365008881,1.391650099,1.387900356,1.36942412,1.383526384,1.394201164,1.402857143,1.40828218,1.42251258,1.438412898,1.463157895,1.461900282,1.484848485,1.517183571,1.49911032,1.6,1.604411765,1.600529101,1.609787508,1.621902478,1.636363636,1.637983922,1.602870813,1.592528236,1.585714286,1.581669314
